280560:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
280591:ApriltagsCameraLog(1):,7,-15.315260,-15.288000,-15.288000,-15.288000,-15.315625,2.379330,2.361269,5.278761,5.238381,18.701339,13473,2.712667
280593:ApriltagsCameraLog(1):,8,-15.315260,-15.200000,-15.200000,-15.200000,-15.315333,2.345404,2.364280,5.210955,5.245111,17.979884,13473,2.622486
280631:ApriltagsCameraLog(1):,7,-15.315333,-15.266000,-15.266000,-15.266000,-15.314064,2.379433,2.361129,5.279689,5.239421,18.701339,13474,2.712667
280633:ApriltagsCameraLog(1):,8,-15.315333,-15.265000,-15.265000,-15.265000,-15.313555,2.345662,2.364182,5.208251,5.246131,17.979884,13474,2.622486
280671:ApriltagsCameraLog(1):,7,-15.313555,-15.318000,-15.318000,-15.318000,-15.313021,2.379189,2.361093,5.277495,5.239819,18.701339,13475,2.712667
280674:ApriltagsCameraLog(1):,8,-15.313555,-15.289000,-15.289000,-15.289000,-15.313074,2.345756,2.364109,5.207253,5.246099,17.979884,13475,2.622486
280692:ApriltagsCameraLog(1):,7,-15.313074,-15.329000,-15.329000,-15.329000,-15.312809,2.379137,2.361048,5.277031,5.239625,18.701339,13476,2.712667
280693:ApriltagsCameraLog(1):,8,-15.313074,-15.302000,-15.302000,-15.302000,-15.312980,2.345807,2.364062,5.206712,5.245860,17.979884,13476,2.622486
280711:ApriltagsCameraLog(1):,,,,,,-15.312859,,2.361019,,5.239335,,,
280736:ApriltagsCameraLog(1):,7,-15.312980,-15.331000,-15.331000,-15.331000,-15.312859,2.379127,2.361019,5.276946,5.239335,18.701339,13478,2.712667
280737:ApriltagsCameraLog(1):,8,-15.312980,-15.253000,-15.253000,-15.253000,-15.313051,2.345614,2.364036,5.208751,5.245604,17.979884,13478,2.622486
280772:ApriltagsCameraLog(1):,7,-15.313051,-15.317000,-15.317000,-15.317000,-15.315137,2.379194,2.360963,5.277537,5.239464,18.701339,13479,2.712667
280773:ApriltagsCameraLog(1):,8,-15.313051,-15.296000,-15.296000,-15.296000,-15.315186,2.345783,2.364001,5.206962,5.245809,17.979884,13479,2.622486
280792:ApriltagsCameraLog(1):,7,-15.315186,-15.274000,-15.274000,-15.274000,-15.315005,2.379396,2.360964,5.279351,5.239335,18.701339,13480,2.712667
280794:ApriltagsCameraLog(1):,8,-15.315186,-15.342000,-15.342000,-15.342000,-15.314600,2.345963,2.364038,5.205048,5.246003,17.979884,13480,2.622486
280811:ApriltagsCameraLog(1):,,,,,,-15.314932,,2.361027,,5.239177,,,
280831:ApriltagsCameraLog(1):,7,-15.314600,-15.323000,-15.323000,-15.323000,-15.312185,2.379165,2.361027,5.277284,5.239177,18.701339,13481,2.712667
280833:ApriltagsCameraLog(1):,8,-15.314600,-15.367000,-15.367000,-15.367000,-15.312271,2.346059,2.364050,5.204007,5.245528,17.979884,13481,2.622486
280851:ApriltagsCameraLog(1):,,,,,,-15.312843,,2.361054,,5.238607,,,
280871:ApriltagsCameraLog(1):,7,-15.312271,-15.345000,-15.345000,-15.345000,-15.312843,2.379061,2.361054,5.276356,5.238607,18.701339,13482,2.712667
280874:ApriltagsCameraLog(1):,8,-15.312271,-15.324000,-15.324000,-15.324000,-15.313157,2.345893,2.364054,5.205797,5.244899,17.979884,13482,2.622486
280892:ApriltagsCameraLog(1):,7,-15.313157,-15.321000,-15.321000,-15.321000,-15.313249,2.379175,2.361028,5.277368,5.238382,18.701339,13483,2.712667
280894:ApriltagsCameraLog(1):,8,-15.313157,-15.355000,-15.355000,-15.355000,-15.313331,2.346013,2.364052,5.204507,5.244880,17.979884,13483,2.622486
280912:ApriltagsCameraLog(1):,,,,,,-15.316536,,2.361048,,5.238150,,,
280931:ApriltagsCameraLog(1):,7,-15.313331,-15.294000,-15.294000,-15.294000,-15.316536,2.379302,2.361048,5.278507,5.238150,18.701339,13484,2.712667
280933:ApriltagsCameraLog(1):,8,-15.313331,-15.370000,-15.370000,-15.370000,-15.316327,2.346071,2.364091,5.203882,5.244876,17.979884,13484,2.622486
280952:ApriltagsCameraLog(1):,7,-15.316327,-15.304000,-15.304000,-15.304000,-15.316947,2.379255,2.361091,5.278086,5.238042,18.701339,13485,2.712667
280954:ApriltagsCameraLog(1):,8,-15.316327,-15.383000,-15.383000,-15.383000,-15.316810,2.346121,2.364119,5.203342,5.244715,17.979884,13485,2.622486
280970:ApriltagsCameraLog(1):,,,,,,-15.317538,,2.361123,,5.237818,,,
280993:ApriltagsCameraLog(1):,7,-15.316810,-15.248000,-15.248000,-15.248000,-15.317538,2.379517,2.361123,5.280448,5.237818,18.701339,13486,2.712667
280995:ApriltagsCameraLog(1):,8,-15.316810,-15.377000,-15.377000,-15.377000,-15.316803,2.346098,2.364193,5.203591,5.244921,17.979884,13486,2.622486
281031:ApriltagsCameraLog(1):,7,-15.316803,-15.207000,-15.207000,-15.207000,-15.314718,2.379708,2.361181,5.282178,5.238031,18.701339,13487,2.712667
281033:ApriltagsCameraLog(1):,8,-15.316803,-15.382000,-15.382000,-15.382000,-15.313549,2.346117,2.364276,5.203383,5.245386,17.979884,13487,2.622486
281051:ApriltagsCameraLog(1):,7,-15.313549,-15.208000,-15.208000,-15.208000,-15.317019,2.379703,2.361253,5.282136,5.238384,18.701339,13488,2.712667
281053:ApriltagsCameraLog(1):,8,-15.313549,-15.419000,-15.419000,-15.419000,-15.315868,2.346259,2.364335,5.201843,5.245673,17.979884,13488,2.622486
281071:ApriltagsCameraLog(1):,,,,,,-15.317006,,2.361329,,5.238366,,,
281092:ApriltagsCameraLog(1):,7,-15.315868,-15.217000,-15.217000,-15.217000,-15.317006,2.379662,2.361329,5.281756,5.238366,18.701339,13489,2.712667
281094:ApriltagsCameraLog(1):,8,-15.315868,-15.283000,-15.283000,-15.283000,-15.315956,2.345732,2.364391,5.207502,5.245595,17.979884,13489,2.622486
281131:ApriltagsCameraLog(1):,7,-15.315956,-15.238000,-15.238000,-15.238000,-15.315603,2.379564,2.361279,5.280870,5.239247,18.701339,13490,2.712667
281133:ApriltagsCameraLog(1):,8,-15.315956,-15.347000,-15.347000,-15.347000,-15.314782,2.345982,2.364331,5.204840,5.246182,17.979884,13490,2.622486
281151:ApriltagsCameraLog(1):,7,-15.314782,-15.245000,-15.245000,-15.245000,-15.315136,2.379531,2.361275,5.280575,5.239291,18.701339,13491,2.712667
281153:ApriltagsCameraLog(1):,8,-15.314782,-15.339000,-15.339000,-15.339000,-15.314394,2.345951,2.364322,5.205172,5.246170,17.979884,13491,2.622486
281191:ApriltagsCameraLog(1):,7,-15.314394,-15.264000,-15.264000,-15.264000,-15.314665,2.379443,2.361262,5.279773,5.239336,18.701339,13492,2.712667
281193:ApriltagsCameraLog(1):,8,-15.314394,-15.308000,-15.308000,-15.308000,-15.314129,2.345830,2.364295,5.206462,5.246074,17.979884,13492,2.622486
281212:ApriltagsCameraLog(1):,7,-15.314129,-15.251000,-15.251000,-15.251000,-15.314061,2.379503,2.361217,5.280322,5.239472,18.701339,13493,2.712667
281214:ApriltagsCameraLog(1):,8,-15.314129,-15.280000,-15.280000,-15.280000,-15.313394,2.345721,2.364268,5.207627,5.246279,17.979884,13493,2.622486
281231:ApriltagsCameraLog(1):,,,,,,-15.313026,,2.361175,,5.239838,,,
281252:ApriltagsCameraLog(1):,7,-15.313394,-15.222000,-15.222000,-15.222000,-15.313026,2.379638,2.361175,5.281545,5.239838,18.701339,13494,2.712667
281253:ApriltagsCameraLog(1):,8,-15.313394,-15.207000,-15.207000,-15.207000,-15.312063,2.347883,2.364258,5.209998,5.246787,17.999605,13494,2.624951
281271:ApriltagsCameraLog(1):,,,,,,-15.310909,,2.361523,,5.240658,,,
281291:ApriltagsCameraLog(1):,7,-15.312063,-15.230000,-15.230000,-15.230000,-15.310909,2.379601,2.361523,5.281208,5.240658,18.701339,13495,2.712667
281300:ApriltagsCameraLog(1):,8,-15.312063,-15.187000,-15.187000,-15.187000,-15.310053,2.345352,2.364541,5.211496,5.247414,17.979884,13495,2.622486
281331:ApriltagsCameraLog(1):,7,-15.310053,-15.243000,-15.243000,-15.243000,-15.308699,2.379541,2.361337,5.280659,5.241431,18.701339,13496,2.712667
281334:ApriltagsCameraLog(1):,8,-15.310053,-15.207000,-15.207000,-15.207000,-15.308004,2.347883,2.364374,5.209998,5.247967,17.999605,13496,2.624951
281351:ApriltagsCameraLog(1):,,,,,,-15.306894,,2.361620,,5.241642,,,
281371:ApriltagsCameraLog(1):,7,-15.308004,-15.261000,-15.261000,-15.261000,-15.306894,2.379457,2.361620,5.279900,5.241642,18.701339,13497,2.712667
281373:ApriltagsCameraLog(1):,8,-15.308004,-15.272000,-15.272000,-15.272000,-15.306408,2.348139,2.364595,5.207291,5.248017,17.999605,13497,2.624951
281391:ApriltagsCameraLog(1):,7,-15.306408,-15.284000,-15.284000,-15.284000,-15.306030,2.379349,2.361851,5.278929,5.241230,18.701339,13498,2.712667
281393:ApriltagsCameraLog(1):,8,-15.306408,-15.289000,-15.289000,-15.289000,-15.305797,2.348206,2.364768,5.206583,5.247513,17.999605,13498,2.624951
281411:ApriltagsCameraLog(1):,,,,,,-15.305612,,2.362007,,5.240691,,,
281431:ApriltagsCameraLog(1):,7,-15.305797,-15.316000,-15.316000,-15.316000,-15.305612,2.379198,2.362007,5.277579,5.240691,18.701339,13499,2.712667
281433:ApriltagsCameraLog(1):,8,-15.305797,-15.345000,-15.345000,-15.345000,-15.305722,2.348424,2.364872,5.204251,5.246840,17.999605,13499,2.624951
281471:ApriltagsCameraLog(1):,7,-15.305722,-15.312000,-15.312000,-15.312000,-15.306154,2.379217,2.362133,5.277748,5.239741,18.701339,13500,2.712667
281474:ApriltagsCameraLog(1):,8,-15.305722,-15.370000,-15.370000,-15.370000,-15.306216,2.346071,2.364980,5.203882,5.246075,17.979884,13500,2.622486
281492:ApriltagsCameraLog(1):,7,-15.306216,-15.209000,-15.209000,-15.209000,-15.306917,2.379699,2.361832,5.282094,5.239041,18.701339,13501,2.712667
281493:ApriltagsCameraLog(1):,8,-15.306216,-15.411000,-15.411000,-15.411000,-15.305881,2.346229,2.364816,5.202176,5.246214,17.979884,13501,2.622486
281510:ApriltagsCameraLog(1):,,,,,,-15.307038,,2.361725,,5.238872,,,
281532:ApriltagsCameraLog(1):,7,-15.305881,-15.200000,-15.200000,-15.200000,-15.307038,2.379741,2.361725,5.282474,5.238872,18.701339,13502,2.712667
281533:ApriltagsCameraLog(1):,8,-15.305881,-15.389000,-15.389000,-15.389000,-15.305905,2.346144,2.364734,5.203092,5.246136,17.979884,13502,2.622486
281552:ApriltagsCameraLog(1):,,,,,,-15.306819,,2.361641,,5.238960,,,
281571:ApriltagsCameraLog(1):,7,-15.305905,-15.216000,-15.216000,-15.216000,-15.306819,2.379666,2.361641,5.281799,5.238960,18.701339,13503,2.712667
281574:ApriltagsCameraLog(1):,8,-15.305905,-15.394000,-15.394000,-15.394000,-15.305858,2.346163,2.364651,5.202884,5.246097,17.979884,13503,2.622486
281612:ApriltagsCameraLog(1):,7,-15.305858,-15.187000,-15.187000,-15.187000,-15.306828,2.382252,2.361575,5.282357,5.238893,18.721622,13504,2.715203
281613:ApriltagsCameraLog(1):,8,-15.305858,-15.438000,-15.438000,-15.438000,-15.305561,2.346332,2.365029,5.201053,5.246133,17.979884,13504,2.622486
281651:ApriltagsCameraLog(1):,7,-15.305561,-15.258000,-15.258000,-15.258000,-15.307018,2.379471,2.361921,5.280026,5.238616,18.701339,13505,2.712667
281653:ApriltagsCameraLog(1):,8,-15.305561,-15.362000,-15.362000,-15.362000,-15.306481,2.346040,2.364849,5.204215,5.245517,17.979884,13505,2.622486
281691:ApriltagsCameraLog(1):,7,-15.306481,-15.249000,-15.249000,-15.249000,-15.307072,2.379513,2.361717,5.280406,5.238632,18.701339,13506,2.712667
281694:ApriltagsCameraLog(1):,8,-15.306481,-15.340000,-15.340000,-15.340000,-15.306458,2.345955,2.364687,5.205131,5.245593,17.979884,13506,2.622486
281731:ApriltagsCameraLog(1):,7,-15.306458,-15.249000,-15.249000,-15.249000,-15.306827,2.379513,2.361567,5.280406,5.238848,18.701339,13507,2.712667
281733:ApriltagsCameraLog(1):,8,-15.306458,-15.390000,-15.390000,-15.390000,-15.306215,2.348597,2.364561,5.202376,5.245773,17.999605,13507,2.624951
281751:ApriltagsCameraLog(1):,,,,,,-15.307135,,2.361906,,5.238538,,,
