28227:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
28304:ApriltagsCameraLog(1):,7,-28.169039,-28.276000,-28.276000,-28.276000,-28.067415,1.860820,1.836567,5.137146,5.089153,14.567203,110522,2.195900
28312:ApriltagsCameraLog(1):,8,-28.169039,-27.999000,-27.999000,-27.999000,-28.083374,1.830777,1.853041,5.072854,5.121005,13.418476,110522,2.052309
28324:ApriltagsCameraLog(1):,7,-28.083374,-28.205000,-28.205000,-28.205000,-27.988364,1.861328,1.839306,5.139499,5.088356,14.567203,110523,2.195900
28328:ApriltagsCameraLog(1):,8,-28.083374,-27.949000,-27.949000,-27.949000,-27.996747,1.830697,1.854832,5.074485,5.122035,13.418476,110523,2.052309
28357:ApriltagsCameraLog(1):,7,-27.996747,-28.242000,-28.242000,-28.242000,-27.795680,1.861064,1.840332,5.138273,5.089365,14.567203,110524,2.195900
28363:ApriltagsCameraLog(1):,8,-27.996747,-27.916000,-27.916000,-27.916000,-27.810951,1.830644,1.855487,5.075562,5.121187,13.418476,110524,2.052309
28375:ApriltagsCameraLog(1):,7,-27.810951,-28.303000,-28.303000,-28.303000,-27.618297,1.858390,1.840213,5.137455,5.089851,14.547108,110525,2.193388
28379:ApriltagsCameraLog(1):,8,-27.810951,-27.911000,-27.911000,-27.911000,-27.642886,1.830636,1.853615,5.075725,5.120719,13.418476,110525,2.052309
28399:ApriltagsCameraLog(1):,7,-27.642886,-28.339000,-28.339000,-28.339000,-27.422977,1.858132,1.839421,5.136264,5.089831,14.547108,110526,2.193388
28405:ApriltagsCameraLog(1):,8,-27.642886,-27.880000,-27.880000,-27.880000,-27.452716,1.830585,1.853050,5.076736,5.119912,13.418476,110526,2.052309
28428:ApriltagsCameraLog(1):,7,-27.452716,-28.250000,-28.250000,-28.250000,-27.108125,1.861007,1.839175,5.138007,5.089955,14.567203,110527,2.195900
28436:ApriltagsCameraLog(1):,8,-27.452716,-27.896000,-27.896000,-27.896000,-27.127651,1.830612,1.854852,5.076214,5.120917,13.418476,110527,2.052309
28455:ApriltagsCameraLog(1):,7,-27.127651,-28.299000,-28.299000,-28.299000,-26.773337,1.858419,1.839573,5.137588,5.089586,14.547108,110530,2.193388
28461:ApriltagsCameraLog(1):,8,-27.127651,-27.932000,-27.932000,-27.932000,-26.800973,1.830670,1.853045,5.075040,5.120231,13.418476,110530,2.052309
28470:ApriltagsCameraLog(1):,7,-26.800973,-28.320000,-28.320000,-28.320000,-26.669578,1.858268,1.839327,5.136892,5.088899,14.547108,110532,2.193388
28475:ApriltagsCameraLog(1):,8,-26.800973,-27.947000,-27.947000,-27.947000,-26.699777,1.830694,1.853013,5.074550,5.119658,13.418476,110532,2.052309
28484:ApriltagsCameraLog(1):,7,-26.699777,-28.298000,-28.298000,-28.298000,-26.454665,1.858426,1.839190,5.137621,5.088471,14.547108,110533,2.193388
28489:ApriltagsCameraLog(1):,8,-26.699777,-28.006000,-28.006000,-28.006000,-26.481376,1.830788,1.853045,5.072626,5.120093,13.418476,110533,2.052309
28498:ApriltagsCameraLog(1):,7,-26.481376,-28.316000,-28.316000,-28.316000,-26.353344,1.858297,1.839555,5.137025,5.087383,14.547108,110535,2.193388
28509:ApriltagsCameraLog(1):,8,-26.481376,-27.972000,-27.972000,-27.972000,-26.381332,1.830734,1.853239,5.073735,5.119408,13.418476,110535,2.052309
28516:ApriltagsCameraLog(1):,7,-26.381332,-28.283000,-28.283000,-28.283000,-26.132403,1.860770,1.839723,5.136914,5.088040,14.567203,110537,2.195900
28520:ApriltagsCameraLog(1):,8,-26.381332,-27.958000,-27.958000,-27.958000,-26.156003,1.830712,1.855106,5.074192,5.119672,13.418476,110537,2.052309
28527:ApriltagsCameraLog(1):,7,-26.156003,-28.266000,-26.156003,-28.266000,-26.018040,1.872434,1.839631,5.208792,5.088207,29.094215,110538,2.193388
28531:ApriltagsCameraLog(1):,8,-26.156003,-27.978000,-27.978000,-27.978000,-26.029476,1.830744,1.862387,5.073539,5.167537,13.418476,110538,2.052309
28541:ApriltagsCameraLog(1):,7,-26.029476,-28.319000,-26.029476,-28.319000,-25.785733,1.873178,1.842523,5.213012,5.103892,29.094215,110539,2.193388
28546:ApriltagsCameraLog(1):,8,-26.029476,-27.940000,-27.940000,-27.940000,-25.801067,1.830683,1.864000,5.074779,5.175657,13.418476,110539,2.052309
28563:ApriltagsCameraLog(1):,7,-25.801067,-28.314000,-25.801067,-28.314000,-25.561113,1.874498,1.842601,5.220634,5.107310,29.094215,110540,2.193388
28566:ApriltagsCameraLog(1):,8,-25.801067,-27.950000,-25.801067,-27.950000,-25.576656,1.825945,1.864692,5.144463,5.181822,26.836951,110540,2.052309
28573:ApriltagsCameraLog(1):,7,-25.576656,-28.337000,-25.576656,-28.337000,-25.459975,1.875765,1.839909,5.228128,5.155579,29.094215,110541,2.193388
28577:ApriltagsCameraLog(1):,8,-25.576656,-27.954000,-25.576656,-27.954000,-25.476828,1.825297,1.864739,5.151762,5.202734,26.836951,110541,2.052309
28586:ApriltagsCameraLog(1):,7,-25.476828,-28.356000,-25.476828,-28.356000,-25.360152,1.876319,1.839718,5.231463,5.167616,29.094215,110542,2.193388
28590:ApriltagsCameraLog(1):,8,-25.476828,-27.944000,-25.476828,-27.944000,-25.377967,1.825000,1.865229,5.155009,5.209046,26.836951,110542,2.052309
28602:ApriltagsCameraLog(1):,7,-25.377967,-28.237000,-25.377967,-28.237000,-25.161373,1.879157,1.839281,5.233678,5.171763,29.134407,110543,2.195900
28611:ApriltagsCameraLog(1):,8,-25.377967,-27.959000,-25.377967,-27.959000,-25.171266,1.824700,1.866813,5.158223,5.211824,26.836951,110543,2.052309
28622:ApriltagsCameraLog(1):,7,-25.171266,-28.293000,-25.171266,-28.293000,-24.955987,1.877979,1.839978,5.241677,5.174967,29.094215,110544,2.193388
28627:ApriltagsCameraLog(1):,8,-25.171266,-27.930000,-25.171266,-27.930000,-24.969691,1.824054,1.866407,5.164942,5.218308,26.836951,110544,2.052309
28635:ApriltagsCameraLog(1):,7,-24.969691,-28.255000,-24.969691,-28.255000,-24.853971,1.879203,1.839676,5.242742,5.181404,29.122465,110546,2.195154
28642:ApriltagsCameraLog(1):,8,-24.969691,-27.731000,-24.969691,-27.731000,-24.870928,1.821257,1.866667,5.166887,5.221407,26.807565,110546,2.050473
28649:ApriltagsCameraLog(1):,7,-24.870928,-28.127000,-24.870928,-28.127000,-24.747322,1.879894,1.836356,5.240371,5.184260,29.150926,110547,2.196933
28656:ApriltagsCameraLog(1):,8,-24.870928,-27.657000,-24.870928,-27.657000,-24.767337,1.821105,1.865215,5.164415,5.221154,26.816298,110547,2.051019
28666:ApriltagsCameraLog(1):,7,-24.767337,-27.704000,-24.767337,-27.704000,-24.540731,1.873176,1.836064,5.222018,5.182600,29.140635,110549,2.196290
28670:ApriltagsCameraLog(1):,8,-24.767337,-27.091000,-24.767337,-27.091000,-24.575431,1.824856,1.860995,5.146311,5.208625,26.905962,110549,2.056623
28683:ApriltagsCameraLog(1):,7,-24.575431,-27.182000,-24.575431,-27.182000,-24.348272,1.871285,1.837171,5.215815,5.166740,29.154497,110550,2.197156
28687:ApriltagsCameraLog(1):,8,-24.575431,-26.688000,-24.575431,-26.688000,-24.371166,1.824692,1.860226,5.141198,5.199366,26.926033,110550,2.057877
28693:ApriltagsCameraLog(1):,7,-24.371166,-26.785000,-24.371166,-26.785000,-24.247476,1.871843,1.836779,5.208960,5.160773,29.209915,110551,2.200620
28697:ApriltagsCameraLog(1):,8,-24.371166,-26.290000,-26.290000,-26.290000,-24.266816,1.827530,1.860210,5.071755,5.192833,13.466690,110551,2.058336
28705:ApriltagsCameraLog(1):,7,-24.266816,-26.422000,-24.266816,-26.422000,-24.126724,1.871869,1.838208,5.198773,5.112590,29.266604,110552,2.204163
28708:ApriltagsCameraLog(1):,8,-24.266816,-26.135000,-26.135000,-26.135000,-24.146585,1.829648,1.860454,5.064324,5.170309,13.496991,110552,2.062124
28716:ApriltagsCameraLog(1):,7,-24.146585,-26.136000,-26.136000,-26.136000,-24.034444,1.856152,1.840084,5.124140,5.099282,14.642081,110553,2.205260
28719:ApriltagsCameraLog(1):,8,-24.146585,-25.575000,-25.575000,-25.575000,-24.083346,1.831248,1.850674,5.070121,5.115652,13.527860,110553,2.065982
28727:ApriltagsCameraLog(1):,7,-24.083346,-25.771000,-25.771000,-25.771000,-23.944591,1.855579,1.837775,5.123675,5.085467,14.651463,110554,2.206433
28730:ApriltagsCameraLog(1):,8,-24.083346,-25.101000,-25.101000,-25.101000,-23.990457,1.829674,1.849714,5.071927,5.111241,13.533542,110554,2.066693
28737:ApriltagsCameraLog(1):,7,-23.990457,-25.258000,-25.258000,-25.258000,-23.832097,1.858476,1.836716,5.126993,5.085438,14.681672,110555,2.210209
