97939:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
97993:ApriltagsCameraLog(1):,,,,,,128.112274,,9.086102,,2.848336,,,
98011:ApriltagsCameraLog(1):,,,,,,131.062104,,9.136377,,2.897684,,,
98017:ApriltagsCameraLog(1):,,,,,,132.550751,,9.147998,,2.913895,,,
98025:ApriltagsCameraLog(1):,,,,,,134.072357,,9.164400,,2.927256,,,
98032:ApriltagsCameraLog(1):,,,,,,134.072357,,9.180752,,2.944332,,,
98038:ApriltagsCameraLog(1):,,,,,,135.596710,,9.190523,,2.959606,,,
98048:ApriltagsCameraLog(1):,,,,,,137.085358,,9.205300,,2.973003,,,
98053:ApriltagsCameraLog(1):,,,,,,137.085358,,9.219506,,2.980397,,,
98073:ApriltagsCameraLog(1):,,,,,,140.037934,,9.252856,,3.009651,,,
98087:ApriltagsCameraLog(1):,,,,,,142.965790,,9.270117,,3.021108,,,
98104:ApriltagsCameraLog(1):,,,,,,145.943085,,9.301446,,3.053982,,,
98119:ApriltagsCameraLog(1):,,,,,,147.489411,,9.311765,,3.058856,,,
98143:ApriltagsCameraLog(1):,,,,,,150.636994,,9.332676,,3.076126,,,
98150:ApriltagsCameraLog(1):,,,,,,152.243744,,9.337734,,3.063024,,,
98174:ApriltagsCameraLog(1):,,,,,,157.096955,,9.335245,,3.045326,,,
98194:ApriltagsCameraLog(1):,,,,,,160.178620,,9.327939,,3.017792,,,
98215:ApriltagsCameraLog(1):,,,,,,161.477753,,9.322124,,2.977706,,,
98235:ApriltagsCameraLog(1):,,,,,,164.595124,,9.332847,,2.946555,,,
98255:ApriltagsCameraLog(1):,,,,,,166.630341,,9.355796,,2.911689,,,
98275:ApriltagsCameraLog(1):,,,,,,168.415619,,9.387615,,2.885502,,,
98294:ApriltagsCameraLog(1):,,,,,,169.096772,,9.423597,,2.856507,,,
98314:ApriltagsCameraLog(1):,,,,,,170.459076,,9.454539,,2.829724,,,
98334:ApriltagsCameraLog(1):,,,,,,172.766205,,9.487834,,2.799602,,,
98354:ApriltagsCameraLog(1):,,,,,,173.524262,,9.524387,,2.768979,,,
98382:ApriltagsCameraLog(1):,,,,,,174.944245,,9.555038,,2.720059,,,
98394:ApriltagsCameraLog(1):,,,,,,176.240631,,9.586798,,2.672232,,,
98415:ApriltagsCameraLog(1):,14,174.944245,175.009000,174.944245,175.009000,178.119293,9.753793,9.625736,2.665045,2.621776,32.245195,67536,4.405649
98454:ApriltagsCameraLog(1):,,,,,,-179.324440,,9.723139,,2.523505,,,
98475:ApriltagsCameraLog(1):,14,178.119293,179.498000,178.119293,179.498000,-178.593850,9.843829,9.763963,2.443555,2.451372,33.470192,67538,4.558774
98494:ApriltagsCameraLog(1):,,,,,,-176.736233,,9.813232,,2.399210,,,
98515:ApriltagsCameraLog(1):,14,-178.593850,-178.360000,-178.593850,-178.360000,-176.175931,9.884169,9.848130,2.464900,2.348401,33.720756,67539,4.590094
98534:ApriltagsCameraLog(1):,,,,,,-174.924442,,9.893392,,2.293256,,,
98554:ApriltagsCameraLog(1):,,,,,,-173.672000,,9.920489,,2.239833,,,
98575:ApriltagsCameraLog(1):,,,,,,-172.309696,,9.946347,,2.173600,,,
98595:ApriltagsCameraLog(1):,,,,,,-171.878482,,9.961834,,2.132158,,,
98614:ApriltagsCameraLog(1):,,,,,,-170.694705,,9.984105,,2.078146,,,
98634:ApriltagsCameraLog(1):,,,,,,-170.260745,,10.012448,,2.013590,,,
98654:ApriltagsCameraLog(1):,,,,,,-170.054752,,10.024718,,1.973773,,,
98674:ApriltagsCameraLog(1):,,,,,,-170.024539,,10.041983,,1.920337,,,
98694:ApriltagsCameraLog(1):,,,,,,-170.175601,,10.059343,,1.866298,,,
98714:ApriltagsCameraLog(1):,,,,,,-170.389835,,10.081509,,1.798574,,,
98734:ApriltagsCameraLog(1):,,,,,,-170.521671,,10.096228,,1.757915,,,
98754:ApriltagsCameraLog(1):,,,,,,-170.785343,,10.115978,,1.702368,,,
98774:ApriltagsCameraLog(1):,,,,,,-171.092960,,10.147446,,1.631132,,,
98794:ApriltagsCameraLog(1):,,,,,,-171.312686,,10.167300,,1.591615,,,
98816:ApriltagsCameraLog(1):,,,,,,-171.581851,,10.196901,,1.522491,,,
98834:ApriltagsCameraLog(1):,,,,,,-171.636783,,10.216865,,1.482034,,,
98855:ApriltagsCameraLog(1):,,,,,,-172.043277,,10.258690,,1.412937,,,
98874:ApriltagsCameraLog(1):,,,,,,-172.287723,,10.288442,,1.377769,,,
98894:ApriltagsCameraLog(1):,,,,,,-172.510196,,10.329979,,1.338568,,,
98916:ApriltagsCameraLog(1):,,,,,,-172.801334,,10.390342,,1.289026,,,
98934:ApriltagsCameraLog(1):,,,,,,-173.281986,,10.446181,,1.254720,,,
98955:ApriltagsCameraLog(1):,,,,,,-173.617069,,10.484744,,1.229100,,,
98974:ApriltagsCameraLog(1):,,,,,,-173.954898,,10.541146,,1.204583,,,
99014:ApriltagsCameraLog(1):,,,,,,-175.045291,,10.657020,,1.152872,,,
99034:ApriltagsCameraLog(1):,,,,,,-175.946170,,10.718614,,1.123841,,,
99054:ApriltagsCameraLog(1):,,,,,,-176.267520,,10.777654,,1.103519,,,
99074:ApriltagsCameraLog(1):,,,,,,-176.989871,,10.838080,,1.088917,,,
99094:ApriltagsCameraLog(1):,,,,,,-178.387882,,10.903776,,1.071869,,,
99114:ApriltagsCameraLog(1):,,,,,,-179.189884,,10.969696,,1.053336,,,
99134:ApriltagsCameraLog(1):,,,,,,-179.865543,,11.030929,,1.041376,,,
99154:ApriltagsCameraLog(1):,1,-179.189884,175.261000,-179.189884,175.261000,179.807614,11.463542,11.091091,1.404538,1.028797,60.480458,67562,4.155029
99174:ApriltagsCameraLog(1):,,,,,,178.790737,,11.249227,,1.078520,,,
99194:ApriltagsCameraLog(1):,1,179.807614,174.117000,179.807614,174.117000,178.549038,11.529815,11.296092,1.386192,1.073761,59.355163,67563,4.084698
99215:ApriltagsCameraLog(1):,,,,,,178.034083,,11.430219,,1.113179,,,
99234:ApriltagsCameraLog(1):,1,178.549038,173.780000,178.549038,173.780000,177.677027,11.634335,11.476413,1.357718,1.107846,57.590048,67564,3.974378
99254:ApriltagsCameraLog(1):,1,177.677027,172.893000,177.677027,172.893000,177.393987,11.733347,11.584556,1.355865,1.141056,56.063580,67565,3.878974
99274:ApriltagsCameraLog(1):,,,,,,177.253179,,11.684811,,1.172695,,,
99296:ApriltagsCameraLog(1):,1,177.393987,172.199000,177.393987,172.199000,176.821966,11.814989,11.760761,1.312979,1.167428,54.592476,67566,3.787030
