11033:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
11171:ApriltagsCameraLog(1):,1,138.002903,140.368000,138.002903,140.368000,137.996721,12.607286,12.146047,2.296628,1.907606,30.101567,3480,3.417997
11182:ApriltagsCameraLog(1):,14,138.002903,148.652000,138.002903,138.002903,138.012411,11.495668,12.174396,1.385976,1.930533,104.510783,3474,6.701595
11204:ApriltagsCameraLog(1):,1,138.012411,140.217000,138.012411,140.217000,137.999491,12.605038,12.133947,2.297944,1.897903,29.735538,3482,3.420529
11213:ApriltagsCameraLog(1):,14,137.999491,148.556000,137.999491,137.999491,138.014362,11.497394,12.163197,1.383908,1.921786,104.081163,3478,6.703966
11226:ApriltagsCameraLog(1):,1,138.014362,140.151000,138.014362,140.151000,138.014349,12.603076,12.150762,2.299565,1.911739,29.594558,3483,3.423060
11229:ApriltagsCameraLog(1):,14,138.014349,148.620000,138.014349,138.014349,138.028747,11.503575,12.178955,1.384000,1.935017,104.423161,3479,6.709619
11248:ApriltagsCameraLog(1):,1,138.028747,140.314000,138.028747,140.314000,138.028735,12.604419,12.166381,2.297287,1.924758,29.932072,3485,3.420529
11251:ApriltagsCameraLog(1):,14,138.028747,148.658000,138.028747,138.028747,138.043955,11.496894,12.193430,1.388761,1.946850,104.410347,3480,6.701595
11267:ApriltagsCameraLog(1):,1,138.043955,140.183000,138.043955,140.183000,138.028750,12.601954,12.153915,2.298373,1.914778,29.600427,3486,3.423060
11276:ApriltagsCameraLog(1):,14,138.028750,148.726000,138.028750,138.028750,138.043259,11.506147,12.181839,1.383855,1.937794,104.926622,3482,6.711990
11298:ApriltagsCameraLog(1):,1,138.043259,140.354000,138.043259,140.354000,138.043246,12.603869,12.169319,2.296702,1.927528,29.994169,3489,3.420529
11308:ApriltagsCameraLog(1):,14,138.043246,148.724000,138.043246,138.043246,138.058600,11.499470,12.196106,1.388626,1.949374,104.710236,3486,6.703966
11316:ApriltagsCameraLog(1):,1,138.058600,140.250000,138.058600,140.250000,138.055837,12.603288,12.183171,2.296085,1.938960,29.703406,3491,3.420529
11320:ApriltagsCameraLog(1):,14,138.055837,148.723000,138.055837,138.055837,138.070540,11.498178,12.209277,1.391682,1.960308,104.602217,3487,6.701595
11329:ApriltagsCameraLog(1):,1,138.070540,140.210000,138.070540,140.210000,138.070520,12.602835,12.196061,2.295604,1.949738,29.576858,3492,3.420529
11333:ApriltagsCameraLog(1):,14,138.070520,148.725000,138.070520,138.070520,138.084916,11.500763,12.221425,1.391567,1.970506,104.577209,3488,6.703966
11341:ApriltagsCameraLog(1):,1,138.084916,140.151000,138.084916,140.151000,138.084896,12.600401,12.208028,2.296721,1.959741,29.422515,3493,3.423060
11346:ApriltagsCameraLog(1):,14,138.084896,148.710000,138.084896,138.084896,138.098871,11.501444,12.232602,1.393118,1.980091,104.428470,3489,6.703966
11353:ApriltagsCameraLog(1):,1,138.098871,140.279000,138.098871,140.279000,138.098852,12.601763,12.218991,2.294462,1.969163,29.675944,3494,3.420529
11358:ApriltagsCameraLog(1):,14,138.098852,149.240000,138.098852,138.098852,138.113471,11.516840,12.242794,1.388227,1.988627,107.312716,3490,6.720015
11367:ApriltagsCameraLog(1):,1,138.113471,140.241000,138.113471,140.241000,138.113450,12.601210,12.229633,2.293873,1.977741,29.547789,3495,3.420529
11370:ApriltagsCameraLog(1):,14,138.113450,148.782000,138.113450,138.113450,138.127778,11.508272,12.252822,1.394698,1.996742,104.741915,3491,6.709619
11380:ApriltagsCameraLog(1):,1,138.127778,140.130000,138.127778,140.130000,138.127757,12.598778,12.239002,2.294992,1.985565,29.266793,3497,3.423060
11385:ApriltagsCameraLog(1):,14,138.127778,148.932000,138.127778,138.127778,138.141368,11.508950,12.261633,1.396245,2.004355,105.429462,3492,6.709619
11397:ApriltagsCameraLog(1):,14,138.141368,148.701000,138.141368,138.141368,138.127763,11.506005,12.225536,1.397516,1.974696,104.135978,3493,6.706338
