165345:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
165359:ApriltagsCameraLog(1):,,,,,,145.019184,,14.554504,,1.436457,,,
165379:ApriltagsCameraLog(1):,2,145.165263,143.510000,145.165263,143.510000,144.931293,14.738729,14.554504,1.417932,1.436457,13.355429,11224,1.807339
165398:ApriltagsCameraLog(1):,2,144.931293,143.528000,144.931293,143.528000,144.862712,14.739361,14.577060,1.425293,1.434696,13.089858,11225,1.809877
165418:ApriltagsCameraLog(1):,2,144.862712,143.482000,144.862712,143.482000,144.822616,14.737238,14.597270,1.422868,1.431990,13.065819,11226,1.810084
165438:ApriltagsCameraLog(1):,2,144.822616,143.255000,144.822616,143.255000,144.797554,14.736853,14.614747,1.418266,1.427865,13.258961,11227,1.807767
165458:ApriltagsCameraLog(1):,2,144.797554,143.267000,144.797554,143.267000,144.757386,14.738607,14.629851,1.420975,1.421184,13.215443,11228,1.807655
165478:ApriltagsCameraLog(1):,2,144.757386,143.129000,144.757386,143.129000,144.759427,14.736141,14.644552,1.417840,1.411841,13.329694,11229,1.807883
165499:ApriltagsCameraLog(1):,2,144.759427,143.219000,144.759427,143.219000,144.779361,14.739049,14.658827,1.421937,1.396695,13.226759,11230,1.807655
165519:ApriltagsCameraLog(1):,2,144.779361,143.317000,144.779361,143.317000,144.800902,14.741503,14.672912,1.416429,1.379878,13.091779,11232,1.802692
165538:ApriltagsCameraLog(1):,2,144.800902,143.188000,144.800902,143.188000,144.785295,14.740403,14.691315,1.410271,1.365716,13.242345,11233,1.800391
165558:ApriltagsCameraLog(1):,2,144.785295,143.212000,144.785295,143.212000,144.660539,14.742656,14.710233,1.409200,1.349573,13.173691,11234,1.797854
165580:ApriltagsCameraLog(1):,2,144.660539,143.160000,144.660539,143.160000,144.513831,14.747959,14.726688,1.400247,1.334075,13.001041,11235,1.788090
165598:ApriltagsCameraLog(1):,2,144.513831,143.209000,144.513831,143.209000,144.380275,14.758477,14.751871,1.394484,1.326684,12.666334,11236,1.775544
165618:ApriltagsCameraLog(1):,2,144.380275,142.473000,144.380275,142.473000,144.276316,14.767055,14.778726,1.398979,1.319061,13.290446,11237,1.770202
165639:ApriltagsCameraLog(1):,2,144.276316,143.165000,144.276316,143.165000,144.170189,14.785297,14.802928,1.386141,1.312404,12.200296,11238,1.747508
165658:ApriltagsCameraLog(1):,,,,,,144.088568,,14.826992,,1.306889,,,
165698:ApriltagsCameraLog(1):,2,144.170189,142.778000,144.170189,142.778000,144.069342,14.805571,14.864738,1.371805,1.290578,12.278827,11239,1.722286
165718:ApriltagsCameraLog(1):,,,,,,144.060236,,14.880735,,1.290197,,,
165738:ApriltagsCameraLog(1):,2,144.069342,142.577000,144.069342,142.577000,144.057490,14.850204,14.889043,1.352083,1.286552,11.939916,11241,1.673682
165758:ApriltagsCameraLog(1):,2,144.057490,142.526000,144.057490,142.526000,144.005529,14.887137,14.892033,1.338221,1.291289,11.624813,11243,1.635116
165778:ApriltagsCameraLog(1):,,,,,,143.919697,,14.889319,,1.298768,,,
165799:ApriltagsCameraLog(1):,2,144.005529,142.549000,144.005529,142.549000,143.911457,14.950614,14.886510,1.309368,1.300569,10.916077,11246,1.566032
165818:ApriltagsCameraLog(1):,,,,,,143.907837,,14.886991,,1.306497,,,
165838:ApriltagsCameraLog(1):,2,143.911457,142.822000,143.911457,142.822000,143.971008,14.975424,14.870606,1.309688,1.314906,10.381862,11247,1.545240
165860:ApriltagsCameraLog(1):,2,143.971008,142.553000,143.971008,142.553000,144.000215,14.987735,14.863316,1.295918,1.326224,10.527966,11248,1.527562
165881:ApriltagsCameraLog(1):,2,144.000215,142.636000,144.000215,142.636000,143.972997,14.999597,14.861987,1.299049,1.331527,10.406049,11249,1.519607
165901:ApriltagsCameraLog(1):,2,143.972997,142.737000,143.972997,142.737000,143.900167,15.006018,14.862310,1.295130,1.336352,10.220178,11250,1.511991
165919:ApriltagsCameraLog(1):,2,143.900167,142.607000,143.900167,142.607000,143.880363,15.016964,14.853697,1.289146,1.344723,10.157494,11251,1.499296
165939:ApriltagsCameraLog(1):,2,143.880363,142.813000,143.880363,142.813000,143.780670,15.019033,14.843165,1.300751,1.351747,9.996924,11252,1.504100
165958:ApriltagsCameraLog(1):,2,143.780670,142.585000,143.780670,142.585000,143.569860,15.013977,14.834954,1.294582,1.358715,10.115280,11253,1.504374
165978:ApriltagsCameraLog(1):,2,143.569860,142.441000,143.569860,142.441000,143.479775,14.997132,14.815558,1.303315,1.368489,10.215349,11255,1.522394
165998:ApriltagsCameraLog(1):,2,143.479775,142.903000,143.479775,142.903000,143.258126,14.983704,14.794516,1.315764,1.375024,9.858934,11256,1.540163
166018:ApriltagsCameraLog(1):,2,143.258126,142.223000,143.258126,142.223000,143.051012,14.968099,14.769803,1.317827,1.383794,10.402537,11257,1.553344
166038:ApriltagsCameraLog(1):,2,143.051012,141.939000,143.051012,141.939000,142.825270,14.943207,14.735988,1.320228,1.395194,10.663015,11258,1.574492
166058:ApriltagsCameraLog(1):,2,142.825270,141.882000,142.825270,141.882000,142.530248,14.926175,14.704642,1.333347,1.404857,10.681144,11259,1.595058
166078:ApriltagsCameraLog(1):,,,,,,142.282419,,14.673621,,1.416202,,,
166098:ApriltagsCameraLog(1):,2,142.530248,141.601000,142.530248,141.601000,142.128610,14.886425,14.618761,1.334173,1.435190,10.950612,11260,1.627444
166118:ApriltagsCameraLog(1):,,,,,,141.954345,,14.581684,,1.447161,,,
166158:ApriltagsCameraLog(1):,2,142.128610,140.381000,142.128610,140.381000,141.594543,14.827679,14.465026,1.353506,1.489092,12.317266,11262,1.685614
166179:ApriltagsCameraLog(1):,2,141.594543,140.144000,141.594543,140.144000,141.358618,14.761032,14.422609,1.381283,1.504333,12.637150,11264,1.754536
166198:ApriltagsCameraLog(1):,2,141.358618,140.945000,141.358618,140.945000,141.122644,14.718387,14.382935,1.403788,1.519035,11.885067,11265,1.801626
166218:ApriltagsCameraLog(1):,2,141.122644,140.212000,141.122644,140.212000,140.888322,14.682220,14.343017,1.418301,1.534808,12.778342,11266,1.838977
166238:ApriltagsCameraLog(1):,2,140.888322,139.643000,140.888322,139.643000,140.596925,14.591426,14.300516,1.438270,1.551977,13.950882,11268,1.925743
166258:ApriltagsCameraLog(1):,2,140.596925,140.211000,140.596925,140.211000,140.321495,14.535959,14.255383,1.458636,1.568722,13.356429,11269,1.982516
166260:ApriltagsCameraLog(1):,11,140.888322,144.545000,140.888322,144.545000,140.313087,14.021532,14.275865,1.255674,1.560579,29.260135,11263,3.053189
166278:ApriltagsCameraLog(1):,2,140.313087,138.419000,140.313087,138.419000,140.136898,14.486095,14.140997,1.478070,1.587359,15.786509,11270,2.034071
166299:ApriltagsCameraLog(1):,2,140.136898,138.896000,140.136898,138.896000,139.849072,14.435640,14.096893,1.487571,1.606772,15.347069,11271,2.081611
166318:ApriltagsCameraLog(1):,2,139.849072,138.256000,139.849072,138.256000,139.504413,14.386066,14.051253,1.508055,1.625812,16.309182,11272,2.133505
166320:ApriltagsCameraLog(1):,11,139.849072,114.181000,139.849072,114.181000,139.482921,13.912607,14.073462,1.228478,1.618805,74.925952,11267,3.000806
