147791:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust
147797:ApriltagsCameraLog(1):,7,173.864619,173.401000,173.401000,173.401000,173.887616,1.822808,1.823171,1.463167,1.479546,11.887911
147827:ApriltagsCameraLog(1):,7,173.887616,173.208000,173.208000,173.208000,173.849859,1.825378,1.823021,1.456598,1.471356,11.908074
147867:ApriltagsCameraLog(1):,7,173.849859,173.019000,173.019000,173.019000,173.800133,1.825403,1.824238,1.450451,1.463983,11.908074
147907:ApriltagsCameraLog(1):,7,173.800133,173.294000,173.294000,173.294000,173.739618,1.825359,1.824863,1.459395,1.457221,11.908074
147927:ApriltagsCameraLog(1):,7,173.739618,173.650000,173.650000,173.650000,173.705096,1.825239,1.825107,1.470973,1.458309,11.908074
147967:ApriltagsCameraLog(1):,7,173.705096,173.830000,173.830000,173.830000,173.700827,1.825150,1.825170,1.476827,1.464641,11.908074
148007:ApriltagsCameraLog(1):,7,173.700827,173.938000,173.938000,173.938000,173.720835,1.825089,1.825167,1.480339,1.470734,11.908074
148027:ApriltagsCameraLog(1):,7,173.720835,173.792000,173.792000,173.792000,173.738433,1.825171,1.825136,1.475591,1.475537,11.908074
148067:ApriltagsCameraLog(1):,7,173.738433,173.577000,173.577000,173.577000,173.742583,1.825269,1.825154,1.468599,1.475564,11.908074
148107:ApriltagsCameraLog(1):,7,173.742583,173.879000,173.879000,173.879000,173.729755,1.825123,1.825216,1.478421,1.472082,11.908074
148127:ApriltagsCameraLog(1):,7,173.729755,173.632000,173.632000,173.632000,173.731317,1.825247,1.825173,1.470388,1.475251,11.908074
148167:ApriltagsCameraLog(1):,7,173.731317,173.737000,173.737000,173.737000,173.722848,1.825198,1.825212,1.473803,1.472820,11.908074
148207:ApriltagsCameraLog(1):,7,173.722848,173.818000,173.818000,173.818000,173.723945,1.825157,1.825205,1.476437,1.473311,11.908074
148231:ApriltagsCameraLog(1):,7,173.723945,173.083000,173.083000,173.083000,173.731231,1.822875,1.825182,1.452839,1.474874,11.887911
148267:ApriltagsCameraLog(1):,7,173.731231,173.553000,173.553000,173.553000,173.680934,1.822755,1.824086,1.468104,1.463850,11.887911
148307:ApriltagsCameraLog(1):,7,173.680934,174.440000,174.440000,174.440000,173.671007,1.822186,1.823418,1.496908,1.465977,11.887911
148347:ApriltagsCameraLog(1):,7,173.671007,174.415000,174.415000,174.415000,173.720675,1.824736,1.822898,1.495849,1.481446,11.908074
148367:ApriltagsCameraLog(1):,7,173.720675,174.121000,174.121000,174.121000,173.773690,1.824969,1.823857,1.486290,1.488642,11.908074
148407:ApriltagsCameraLog(1):,7,173.773690,174.180000,174.180000,174.180000,173.800015,1.822399,1.824409,1.488466,1.487465,11.887911
148447:ApriltagsCameraLog(1):,7,173.800015,173.364000,173.364000,173.364000,173.829499,1.822818,1.823406,1.461966,1.487968,11.887911
