38041:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
38119:ApriltagsCameraLog(1):,1,128.491366,129.120000,129.120000,129.120000,128.438718,13.884227,13.951349,2.665625,2.744822,20.639074,150976,2.954884
38123:ApriltagsCameraLog(1):,2,128.491366,127.885000,127.885000,127.885000,128.499610,13.972665,13.906312,2.763480,2.692270,21.675027,150976,3.084378
38138:ApriltagsCameraLog(1):,1,128.499610,129.167000,129.167000,129.167000,128.448364,13.882243,13.950317,2.664644,2.739957,20.639074,150978,2.954884
38142:ApriltagsCameraLog(1):,2,128.499610,127.764000,127.764000,127.764000,128.512525,13.975084,13.904645,2.770156,2.690011,21.695175,150978,3.086897
38181:ApriltagsCameraLog(1):,1,128.512525,129.012000,129.012000,129.012000,128.449990,13.888791,13.950985,2.667874,2.743716,20.639074,150979,2.954884
38184:ApriltagsCameraLog(1):,2,128.512525,127.805000,127.805000,127.805000,128.500298,13.973734,13.909092,2.768574,2.693342,21.695175,150979,3.086897
38202:ApriltagsCameraLog(1):,1,128.500298,129.142000,129.142000,129.142000,128.499919,13.883298,13.924498,2.665166,2.743638,20.639074,150980,2.954884
38207:ApriltagsCameraLog(1):,2,128.500298,127.758000,127.758000,127.758000,128.562380,13.975281,13.878395,2.770387,2.691489,21.695175,150980,3.086897
38220:ApriltagsCameraLog(1):,1,128.562380,129.159000,129.159000,129.159000,128.505462,13.882581,13.904378,2.664811,2.744314,20.639074,150982,2.954884
38224:ApriltagsCameraLog(1):,2,128.562380,127.748000,127.748000,127.748000,128.569388,13.975611,13.857896,2.770773,2.691467,21.695175,150982,3.086897
38234:ApriltagsCameraLog(1):,1,128.569388,129.006000,129.006000,129.006000,128.508720,13.889044,13.886267,2.667999,2.744588,20.639074,150984,2.954884
38239:ApriltagsCameraLog(1):,2,128.569388,127.714000,127.714000,127.714000,128.559053,13.976731,13.844146,2.772084,2.693609,21.695175,150984,3.086897
38248:ApriltagsCameraLog(1):,1,128.559053,129.226000,129.226000,129.226000,128.482856,13.879753,13.876382,2.663410,2.746199,20.639074,150986,2.954884
38252:ApriltagsCameraLog(1):,2,128.559053,127.671000,127.671000,127.671000,128.553907,13.976597,13.826476,2.775751,2.691197,21.715322,150986,3.089415
38262:ApriltagsCameraLog(1):,1,128.553907,129.148000,129.148000,129.148000,128.468124,13.883045,13.857451,2.665041,2.748011,20.639074,150988,2.954884
38266:ApriltagsCameraLog(1):,2,128.553907,127.773000,127.773000,127.773000,128.532098,13.974788,13.811105,2.769809,2.692911,21.695175,150988,3.086897
38275:ApriltagsCameraLog(1):,1,128.532098,129.187000,129.187000,129.187000,128.411339,13.881399,13.827818,2.664226,2.744650,20.639074,150990,2.954884
38292:ApriltagsCameraLog(1):,2,128.532098,127.733000,127.733000,127.733000,128.478406,13.976105,13.780775,2.771351,2.691308,21.695175,150990,3.086897
38314:ApriltagsCameraLog(1):,1,128.478406,129.077000,129.077000,129.077000,128.260288,13.886044,13.777138,2.666522,2.745591,20.639074,150992,2.954884
38317:ApriltagsCameraLog(1):,2,128.478406,127.675000,127.675000,127.675000,128.317361,13.978017,13.732972,2.773586,2.693364,21.695175,150992,3.086897
38328:ApriltagsCameraLog(1):,1,128.317361,129.139000,129.139000,129.139000,128.256977,13.883425,13.738067,2.665229,2.748131,20.639074,150993,2.954884
38330:ApriltagsCameraLog(1):,2,128.317361,127.779000,127.779000,127.779000,128.320531,13.974590,13.690547,2.769577,2.693654,21.695175,150993,3.086897
38346:ApriltagsCameraLog(1):,1,128.320531,129.211000,129.211000,129.211000,128.225391,13.880386,13.697114,2.663724,2.745775,20.639074,150995,2.954884
38349:ApriltagsCameraLog(1):,2,128.320531,127.703000,127.703000,127.703000,128.294911,13.977094,13.649249,2.772508,2.692098,21.695175,150995,3.086897
38355:ApriltagsCameraLog(1):,1,128.294911,129.129000,129.129000,129.129000,128.211702,13.883847,13.676291,2.665438,2.747420,20.639074,150996,2.954884
38360:ApriltagsCameraLog(1):,2,128.294911,127.852000,127.852000,127.852000,128.273715,13.972189,13.630341,2.766759,2.693936,21.695175,150996,3.086897
38369:ApriltagsCameraLog(1):,1,128.273715,129.175000,129.175000,129.175000,128.206212,13.881905,13.654925,2.664477,2.744014,20.639074,150997,2.954884
38372:ApriltagsCameraLog(1):,2,128.273715,127.662000,127.662000,127.662000,128.271545,13.976894,13.609224,2.776098,2.692130,21.715322,150997,3.089415
38378:ApriltagsCameraLog(1):,1,128.271545,129.133000,129.133000,129.133000,128.173340,13.883678,13.635470,2.665354,2.750082,20.639074,150998,2.954884
38387:ApriltagsCameraLog(1):,2,128.271545,127.873000,127.873000,127.873000,128.235424,13.971499,13.589404,2.765948,2.694938,21.695175,150998,3.086897
38393:ApriltagsCameraLog(1):,1,128.235424,129.089000,129.089000,129.089000,128.166671,13.885537,13.600921,2.666272,2.744130,20.639074,151000,2.954884
38403:ApriltagsCameraLog(1):,2,128.235424,127.813000,127.813000,127.813000,128.223970,13.973471,13.558011,2.768265,2.693588,21.695175,151000,3.086897
38412:ApriltagsCameraLog(1):,1,128.223970,129.092000,129.092000,129.092000,128.089272,13.885410,13.566040,2.666209,2.745621,20.639074,151001,2.954884
38438:ApriltagsCameraLog(1):,2,128.223970,127.827000,127.827000,127.827000,128.146864,13.973011,13.522111,2.767725,2.694276,21.695175,151001,3.086897
38459:ApriltagsCameraLog(1):,1,128.146864,129.078000,129.078000,129.078000,127.889754,13.886002,13.487578,2.666501,2.746288,20.639074,151007,2.954884
38463:ApriltagsCameraLog(1):,2,128.146864,127.736000,127.736000,127.736000,127.945925,13.976006,13.444166,2.771236,2.695234,21.695175,151007,3.086897
38472:ApriltagsCameraLog(1):,1,127.945925,129.168000,129.168000,129.168000,127.837635,13.882201,13.465153,2.664623,2.749064,20.639074,151009,2.954884
38486:ApriltagsCameraLog(1):,2,127.945925,127.659000,127.659000,127.659000,127.902447,13.976993,13.417777,2.776214,2.695106,21.715322,151009,3.089415
38514:ApriltagsCameraLog(1):,1,127.902447,129.100000,129.100000,129.100000,127.672291,13.885072,13.411620,2.666042,2.753110,20.639074,151014,2.954884
38521:ApriltagsCameraLog(1):,2,127.902447,127.811000,127.811000,127.811000,127.731551,13.973537,13.366200,2.768342,2.697903,21.695175,151014,3.086897
38530:ApriltagsCameraLog(1):,1,127.731551,128.964000,128.964000,128.964000,127.600212,13.890820,13.401301,2.668871,2.748498,20.639074,151015,2.954884
38533:ApriltagsCameraLog(1):,2,127.731551,127.798000,127.798000,127.798000,127.647258,13.973965,13.360832,2.768844,2.698325,21.695175,151015,3.086897
38541:ApriltagsCameraLog(1):,1,127.647258,129.171000,129.171000,129.171000,127.526648,13.882074,13.394857,2.664560,2.749214,20.639074,151017,2.954884
38545:ApriltagsCameraLog(1):,2,127.647258,127.804000,127.804000,127.804000,127.592867,13.973767,13.347507,2.768612,2.695811,21.695175,151017,3.086897
38554:ApriltagsCameraLog(1):,1,127.592867,129.230000,129.230000,129.230000,127.491218,13.879584,13.382012,2.663326,2.748365,20.639074,151018,2.954884
38557:ApriltagsCameraLog(1):,2,127.592867,127.809000,127.809000,127.809000,127.561882,13.973603,13.334288,2.768419,2.694776,21.695175,151018,3.086897
38565:ApriltagsCameraLog(1):,1,127.561882,129.157000,129.157000,129.157000,127.462292,13.882665,13.375676,2.664853,2.747857,20.639074,151020,2.954884
38569:ApriltagsCameraLog(1):,2,127.561882,127.819000,127.819000,127.819000,127.525390,13.973274,13.330647,2.768033,2.695639,21.695175,151020,3.086897
38578:ApriltagsCameraLog(1):,1,127.525390,129.226000,129.226000,129.226000,127.442697,13.879753,13.373038,2.663410,2.747897,20.639074,151022,2.954884
38587:ApriltagsCameraLog(1):,2,127.525390,127.868000,127.868000,127.868000,127.511432,13.971663,13.325912,2.766141,2.694692,21.695175,151022,3.086897
38599:ApriltagsCameraLog(1):,1,127.511432,129.226000,129.226000,129.226000,127.404495,13.879753,13.364897,2.663410,2.746346,20.639074,151023,2.954884
38603:ApriltagsCameraLog(1):,2,127.511432,127.862000,127.862000,127.862000,127.470142,13.971860,13.325449,2.766373,2.694195,21.695175,151023,3.086897
38617:ApriltagsCameraLog(1):,1,127.470142,129.081000,129.081000,129.081000,127.403954,13.889818,13.365271,2.669641,2.746419,20.649971,151024,2.956246
38622:ApriltagsCameraLog(1):,2,127.470142,127.854000,127.854000,127.854000,127.453771,13.974576,13.334980,2.771805,2.698508,21.710076,151024,3.088759
38632:ApriltagsCameraLog(1):,1,127.453771,129.387000,129.387000,129.387000,127.379926,13.868129,13.368010,2.665919,2.751730,20.697821,151025,2.962228
38638:ApriltagsCameraLog(1):,2,127.453771,127.780000,127.780000,127.780000,127.456320,13.967881,13.322965,2.774005,2.697911,21.758262,151025,3.094783
