49651:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
49745:ApriltagsCameraLog(1):,7,1.473936,2.156000,2.156000,2.156000,1.199225,1.342215,1.353433,5.477188,5.482722,10.950941,83394,1.743868
49747:ApriltagsCameraLog(1):,8,1.473936,2.122000,2.122000,2.122000,1.346562,1.326560,1.345929,5.401197,5.479085,10.474007,83394,1.684251
49756:ApriltagsCameraLog(1):,15,1.346562,-4.466000,1.346562,-4.466000,1.470459,1.368016,1.332722,5.509449,5.427233,41.573169,83393,2.973323
49775:ApriltagsCameraLog(1):,7,1.346562,2.203000,2.203000,2.203000,1.195123,1.342273,1.353523,5.478320,5.483165,10.950941,83396,1.743868
49778:ApriltagsCameraLog(1):,8,1.346562,2.109000,2.109000,2.109000,1.580460,1.326655,1.339273,5.400887,5.461257,10.474007,83396,1.684251
49785:ApriltagsCameraLog(1):,15,1.580460,-4.462000,1.580460,-4.462000,1.664371,1.363916,1.330706,5.496078,5.421043,41.573169,83394,2.973323
49797:ApriltagsCameraLog(1):,7,1.664371,2.161000,2.161000,2.161000,1.385690,1.342221,1.350274,5.477309,5.472155,10.950941,83399,1.743868
49810:ApriltagsCameraLog(1):,8,1.664371,2.134000,2.134000,2.134000,1.505098,1.326472,1.344925,5.401483,5.475621,10.474007,83399,1.684251
49812:ApriltagsCameraLog(1):,15,1.664371,-4.487000,1.664371,-4.487000,1.605596,1.362458,1.332396,5.491277,5.426252,41.573169,83395,2.973323
49819:ApriltagsCameraLog(1):,7,1.605596,2.204000,2.204000,2.204000,1.116038,1.342274,1.357767,5.478344,5.485291,10.950941,83400,1.743868
49821:ApriltagsCameraLog(1):,8,1.605596,2.115000,2.115000,2.115000,1.283747,1.326611,1.347401,5.401030,5.480743,10.474007,83400,1.684251
49833:ApriltagsCameraLog(1):,15,1.283747,-4.483000,1.283747,-4.483000,1.416710,1.369127,1.333218,5.513037,5.427686,41.573169,83397,2.973323
49840:ApriltagsCameraLog(1):,7,1.416710,2.212000,2.212000,2.212000,1.145829,1.342284,1.354343,5.478537,5.485719,10.950941,83402,1.743868
49842:ApriltagsCameraLog(1):,8,1.416710,2.102000,2.102000,2.102000,1.310214,1.326706,1.346266,5.400721,5.480994,10.474007,83402,1.684251
49860:ApriltagsCameraLog(1):,7,1.310214,2.201000,2.201000,2.201000,1.436891,1.342270,1.332916,5.478272,5.427554,10.950941,83403,1.743868
49864:ApriltagsCameraLog(1):,8,1.310214,2.131000,2.131000,2.131000,1.554647,1.326494,1.339342,5.401411,5.461331,10.474007,83403,1.684251
49885:ApriltagsCameraLog(1):,15,1.554647,-4.507000,1.554647,-4.507000,1.646801,1.364366,1.330609,5.497554,5.421421,41.573169,83400,2.973323
49893:ApriltagsCameraLog(1):,7,1.646801,2.166000,2.166000,2.166000,1.367021,1.342228,1.350493,5.477429,5.473288,10.950941,83404,1.743868
49898:ApriltagsCameraLog(1):,8,1.646801,2.139000,2.139000,2.139000,1.490604,1.326436,1.344999,5.401602,5.476081,10.474007,83404,1.684251
49900:ApriltagsCameraLog(1):,15,1.490604,-4.486000,1.490604,-4.486000,1.594769,1.365485,1.332387,5.501216,5.426487,41.573169,83401,2.973323
49910:ApriltagsCameraLog(1):,7,1.594769,2.209000,2.209000,2.209000,1.315726,1.342280,1.351912,5.478465,5.477383,10.950941,83406,1.743868
49913:ApriltagsCameraLog(1):,8,1.594769,2.112000,2.112000,2.112000,1.453908,1.326633,1.345496,5.400959,5.478147,10.474007,83406,1.684251
49923:ApriltagsCameraLog(1):,15,1.594769,-4.502000,1.594769,-4.502000,1.559666,1.363667,1.332672,5.495259,5.426749,41.573169,83402,2.973323
49933:ApriltagsCameraLog(1):,7,1.559666,2.209000,2.209000,2.209000,1.048762,1.342280,1.359166,5.478465,5.489671,10.950941,83407,1.743868
49937:ApriltagsCameraLog(1):,8,1.559666,2.112000,2.112000,2.112000,1.228191,1.326633,1.347845,5.400959,5.482297,10.474007,83407,1.684251
49940:ApriltagsCameraLog(1):,15,1.228191,-4.475000,1.228191,-4.475000,1.370160,1.370112,1.333352,5.516209,5.428164,41.573169,83405,2.973323
49949:ApriltagsCameraLog(1):,7,1.370160,2.159000,2.159000,2.159000,1.101953,1.342219,1.354985,5.477260,5.488009,10.950941,83409,1.743868
49952:ApriltagsCameraLog(1):,8,1.370160,2.181000,2.181000,2.181000,1.265485,1.326128,1.346418,5.402602,5.480910,10.474007,83409,1.684251
49955:ApriltagsCameraLog(1):,15,1.265485,-4.454000,1.265485,-4.454000,1.412576,1.369450,1.332541,5.514080,5.428796,41.573169,83406,2.973323
49965:ApriltagsCameraLog(1):,7,1.412576,2.199000,2.199000,2.199000,1.143393,1.342268,1.354352,5.478224,5.486810,10.950941,83410,1.743868
49968:ApriltagsCameraLog(1):,8,1.412576,2.179000,2.179000,2.179000,1.306718,1.326143,1.346252,5.402554,5.481149,10.474007,83410,1.684251
49970:ApriltagsCameraLog(1):,15,1.306718,-4.459000,1.306718,-4.459000,1.446894,1.368720,1.332510,5.511725,5.428839,41.573169,83407,2.973323
49983:ApriltagsCameraLog(1):,7,1.446894,2.211000,2.211000,2.211000,1.175911,1.342283,1.353915,5.478513,5.485241,10.950941,83411,1.743868
49986:ApriltagsCameraLog(1):,8,1.446894,2.189000,2.189000,2.189000,1.336087,1.326070,1.346126,5.402792,5.480815,10.474007,83411,1.684251
50000:ApriltagsCameraLog(1):,15,1.336087,-4.458000,1.336087,-4.458000,1.473178,1.368201,1.332429,5.510047,5.428884,41.573169,83408,2.973323
50016:ApriltagsCameraLog(1):,7,1.473178,2.180000,2.180000,2.180000,1.201040,1.342245,1.353588,5.477766,5.484128,10.950941,83412,1.743868
50020:ApriltagsCameraLog(1):,8,1.473178,2.163000,2.163000,2.163000,1.352566,1.326260,1.345995,5.402173,5.479942,10.474007,83412,1.684251
50022:ApriltagsCameraLog(1):,15,1.352566,-4.442000,1.352566,-4.442000,1.482866,1.367910,1.332530,5.509106,5.428175,41.573169,83410,2.973323
50030:ApriltagsCameraLog(1):,7,1.482866,2.165000,2.165000,2.165000,1.213776,1.342226,1.353438,5.477405,5.483250,10.950941,83414,1.743868
50033:ApriltagsCameraLog(1):,8,1.482866,2.147000,2.147000,2.147000,1.361483,1.326377,1.345936,5.401792,5.479406,10.474007,83414,1.684251
50037:ApriltagsCameraLog(1):,15,1.361483,-4.454000,1.361483,-4.454000,1.488270,1.367753,1.332597,5.508596,5.427740,41.573169,83412,2.973323
50045:ApriltagsCameraLog(1):,7,1.488270,2.195000,2.195000,2.195000,1.215772,1.342263,1.353352,5.478128,5.482761,10.950941,83417,1.743868
50048:ApriltagsCameraLog(1):,8,1.488270,2.165000,2.165000,2.165000,1.368190,1.326245,1.345937,5.402221,5.479726,10.474007,83417,1.684251
50051:ApriltagsCameraLog(1):,15,1.368190,-4.515000,1.368190,-4.515000,1.497188,1.365096,1.332505,5.508153,5.428134,41.612193,83414,2.975762
50062:ApriltagsCameraLog(1):,7,1.497188,2.201000,2.201000,2.201000,1.221794,1.342270,1.351547,5.478272,5.482524,10.950941,83419,1.743868
50071:ApriltagsCameraLog(1):,8,1.497188,2.168000,2.168000,2.168000,1.373860,1.326223,1.345342,5.402292,5.479734,10.474007,83419,1.684251
50096:ApriltagsCameraLog(1):,15,1.497188,-4.500000,1.497188,-4.500000,1.502068,1.365370,1.332294,5.500840,5.428182,41.573169,83415,2.973323
50130:ApriltagsCameraLog(1):,7,1.502068,2.195000,2.195000,2.195000,0.962163,1.342263,1.360174,5.478128,5.495164,10.950941,83420,1.743868
50137:ApriltagsCameraLog(1):,8,1.502068,2.164000,2.164000,2.164000,1.153821,1.326253,1.348130,5.402197,5.483916,10.474007,83420,1.684251
50142:ApriltagsCameraLog(1):,15,1.502068,-4.500000,1.502068,-4.500000,1.317108,1.362745,1.333139,5.500494,5.429546,41.612193,83416,2.975762
50150:ApriltagsCameraLog(1):,7,1.317108,2.166000,2.166000,2.166000,0.712053,1.342228,1.361726,5.477429,5.498793,10.950941,83421,1.743868
50157:ApriltagsCameraLog(1):,8,1.317108,2.149000,2.149000,2.149000,0.937536,1.326362,1.348574,5.401840,5.484691,10.474007,83421,1.684251
50163:ApriltagsCameraLog(1):,15,0.937536,-4.470000,0.937536,-4.470000,1.132761,1.375318,1.333274,5.532791,5.429590,41.573169,83418,2.973323
50183:ApriltagsCameraLog(1):,7,1.132761,2.183000,2.183000,2.183000,0.875848,1.342248,1.358077,5.477839,5.499649,10.950941,83423,1.743868
50192:ApriltagsCameraLog(1):,8,1.132761,2.151000,2.151000,2.151000,1.078558,1.326348,1.347384,5.401888,5.485211,10.474007,83423,1.684251
50199:ApriltagsCameraLog(1):,15,1.078558,-4.457000,1.078558,-4.457000,1.251387,1.372782,1.332921,5.524749,5.429774,41.573169,83421,2.973323
50210:ApriltagsCameraLog(1):,7,1.251387,2.172000,2.172000,2.172000,0.989626,1.342235,1.356469,5.477574,5.494307,10.950941,83426,1.743868
50215:ApriltagsCameraLog(1):,8,1.251387,2.155000,2.155000,2.155000,1.172643,1.326319,1.346882,5.401983,5.483235,10.474007,83426,1.684251
50223:ApriltagsCameraLog(1):,15,1.251387,-4.452000,1.251387,-4.452000,1.330588,1.367161,1.332782,5.514829,5.429166,41.612193,83422,2.975762
50249:ApriltagsCameraLog(1):,7,1.330588,2.155000,2.155000,2.155000,0.742952,1.342214,1.362973,5.477164,5.508302,10.950941,83428,1.743868
50251:ApriltagsCameraLog(1):,8,1.330588,2.123000,2.123000,2.123000,0.961437,1.326552,1.348917,5.401221,5.487689,10.474007,83428,1.684251
50254:ApriltagsCameraLog(1):,15,0.961437,-4.480000,0.961437,-4.480000,1.148115,1.374887,1.333516,5.531428,5.430172,41.573169,83426,2.973323
50269:ApriltagsCameraLog(1):,7,1.148115,2.158000,2.158000,2.158000,0.889912,1.342218,1.357915,5.477236,5.498921,10.950941,83430,1.743868
50271:ApriltagsCameraLog(1):,8,1.148115,2.182000,2.182000,2.182000,1.086165,1.326121,1.347315,5.402626,5.484563,10.474007,83430,1.684251
50289:ApriltagsCameraLog(1):,15,1.086165,-4.490000,1.086165,-4.490000,1.262305,1.372645,1.332746,5.524315,5.430053,41.573169,83427,2.973323
50309:ApriltagsCameraLog(1):,7,1.262305,2.167000,2.167000,2.167000,0.998401,1.342229,1.356318,5.477453,5.494122,10.950941,83432,1.743868
50311:ApriltagsCameraLog(1):,8,1.262305,2.106000,2.106000,2.106000,1.178866,1.326677,1.346830,5.400816,5.483091,10.474007,83432,1.684251
50349:ApriltagsCameraLog(1):,15,1.262305,-4.491000,1.262305,-4.491000,1.327517,1.369507,1.333022,5.514261,5.428333,41.573169,83428,2.973323
50369:ApriltagsCameraLog(1):,7,1.327517,2.171000,2.171000,2.171000,0.746467,1.342234,1.364491,5.477549,5.507941,10.950941,83433,1.743868
50371:ApriltagsCameraLog(1):,8,1.327517,2.110000,2.110000,2.110000,0.966456,1.326647,1.349440,5.400911,5.487837,10.474007,83433,1.684251
50409:ApriltagsCameraLog(1):,15,0.966456,-4.507000,0.966456,-4.507000,1.149804,1.374796,1.333760,5.531142,5.430015,41.573169,83430,2.973323
50429:ApriltagsCameraLog(1):,7,1.149804,2.157000,2.157000,2.157000,0.890158,1.342217,1.357923,5.477212,5.498674,10.950941,83435,1.743868
50431:ApriltagsCameraLog(1):,8,1.149804,2.140000,2.140000,2.140000,1.085795,1.326428,1.347318,5.401626,5.484464,10.474007,83435,1.684251
50449:ApriltagsCameraLog(1):,15,1.085795,-4.484000,1.085795,-4.484000,1.254819,1.372652,1.332965,5.524336,5.429347,41.573169,83432,2.973323
50469:ApriltagsCameraLog(1):,7,1.254819,2.163000,2.163000,2.163000,0.991409,1.342224,1.356378,5.477357,5.493891,10.950941,83437,1.743868
50471:ApriltagsCameraLog(1):,8,1.254819,2.181000,2.181000,2.181000,1.172336,1.326128,1.346847,5.402602,5.482950,10.474007,83437,1.684251
50490:ApriltagsCameraLog(1):,15,1.254819,-4.496000,1.254819,-4.496000,1.334059,1.369640,1.332639,5.514689,5.429488,41.573169,83433,2.973323
50509:ApriltagsCameraLog(1):,7,1.334059,2.150000,2.150000,2.150000,0.739538,1.342208,1.364580,5.477044,5.508151,10.950941,83438,1.743868
50511:ApriltagsCameraLog(1):,8,1.334059,2.126000,2.126000,2.126000,0.957354,1.326531,1.349450,5.401292,5.487569,10.474007,83438,1.684251
