34543:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
34608:ApriltagsCameraLog(1):,7,-0.921790,-0.213000,-0.213000,-0.213000,-0.919044,1.340390,1.336095,5.349064,5.296438,10.858903,11969,1.732363
34614:ApriltagsCameraLog(1):,8,-0.921790,-0.423000,-0.423000,-0.423000,-0.919044,1.330571,1.336095,5.269163,5.296438,10.387357,11969,1.673420
34620:ApriltagsCameraLog(1):,15,-0.919044,-6.453000,-0.919044,-6.453000,-0.919044,1.378332,1.336095,5.371842,5.296438,41.432426,11966,2.964527
34654:ApriltagsCameraLog(1):,7,-0.919044,-0.173000,-0.173000,-0.173000,-0.919044,1.343068,1.336095,5.350019,5.296438,10.878657,11970,1.734832
34658:ApriltagsCameraLog(1):,8,-0.919044,-0.417000,-0.417000,-0.417000,-0.919044,1.330541,1.336095,5.269307,5.296438,10.387357,11970,1.673420
34660:ApriltagsCameraLog(1):,15,-0.919044,-6.460000,-0.919044,-6.460000,-0.919044,1.378332,1.336095,5.371842,5.296438,41.432426,11967,2.964527
34678:ApriltagsCameraLog(1):,7,-0.919044,-0.214000,-0.214000,-0.214000,-0.919044,1.340386,1.336095,5.349040,5.296438,10.858903,11971,1.732363
34681:ApriltagsCameraLog(1):,8,-0.919044,-0.413000,-0.413000,-0.413000,-0.919044,1.330521,1.336095,5.269402,5.296438,10.387357,11971,1.673420
34685:ApriltagsCameraLog(1):,15,-0.919044,-6.463000,-0.919044,-6.463000,-0.919044,1.380872,1.336095,5.371801,5.296438,41.392906,11969,2.962057
34691:ApriltagsCameraLog(1):,7,-0.919044,-0.214000,-0.214000,-0.214000,-0.919044,1.340386,1.336095,5.349040,5.296438,10.858903,11972,1.732363
34696:ApriltagsCameraLog(1):,8,-0.919044,-0.426000,-0.426000,-0.426000,-0.919044,1.330586,1.336095,5.269092,5.296438,10.387357,11972,1.673420
34699:ApriltagsCameraLog(1):,15,-0.919044,-6.443000,-0.919044,-6.443000,-0.919044,1.380872,1.336095,5.371801,5.296438,41.392906,11970,2.962057
34709:ApriltagsCameraLog(1):,7,-0.919044,-0.209000,-0.209000,-0.209000,-0.919044,1.340404,1.336095,5.349160,5.296438,10.858903,11974,1.732363
34712:ApriltagsCameraLog(1):,8,-0.919044,-0.429000,-0.429000,-0.429000,-0.919044,1.330601,1.336095,5.269020,5.296438,10.387357,11974,1.673420
34715:ApriltagsCameraLog(1):,15,-0.919044,-6.466000,-0.919044,-6.466000,-0.919044,1.380872,1.336095,5.371801,5.296438,41.392906,11972,2.962057
34721:ApriltagsCameraLog(1):,7,-0.919044,-0.216000,-0.216000,-0.216000,-0.919044,1.340379,1.336095,5.348992,5.296438,10.858903,11975,1.732363
34724:ApriltagsCameraLog(1):,8,-0.919044,-0.454000,-0.454000,-0.454000,-0.919044,1.330726,1.336095,5.268423,5.296438,10.387357,11975,1.673420
34731:ApriltagsCameraLog(1):,7,-0.919044,-0.196000,-0.196000,-0.196000,-0.919044,1.340449,1.336095,5.349473,5.296438,10.858903,11976,1.732363
34734:ApriltagsCameraLog(1):,8,-0.919044,-0.446000,-0.446000,-0.446000,-0.919044,1.330686,1.336095,5.268614,5.296438,10.387357,11976,1.673420
34737:ApriltagsCameraLog(1):,15,-0.919044,-6.458000,-0.919044,-6.458000,-0.919044,1.380872,1.336095,5.371801,5.296438,41.392906,11973,2.962057
34742:ApriltagsCameraLog(1):,7,-0.919044,-0.192000,-0.192000,-0.192000,-0.919044,1.340463,1.336095,5.349569,5.296438,10.858903,11977,1.732363
34745:ApriltagsCameraLog(1):,8,-0.919044,-0.457000,-0.457000,-0.457000,-0.919044,1.330741,1.336095,5.268351,5.296438,10.387357,11977,1.673420
34750:ApriltagsCameraLog(1):,15,-0.919044,-6.475000,-0.919044,-6.475000,-0.919044,1.380872,1.336095,5.371801,5.296438,41.392906,11974,2.962057
34756:ApriltagsCameraLog(1):,7,-0.919044,-0.160000,-0.160000,-0.160000,-0.919044,1.343113,1.336095,5.350332,5.296438,10.878657,11978,1.734832
34769:ApriltagsCameraLog(1):,8,-0.919044,-0.451000,-0.451000,-0.451000,-0.919044,1.330711,1.336095,5.268495,5.296438,10.387357,11978,1.673420
34776:ApriltagsCameraLog(1):,15,-0.919044,-6.472000,-0.919044,-6.472000,-0.919044,1.380872,1.336095,5.371801,5.296438,41.392906,11975,2.962057
