22700:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
22769:ApriltagsCameraLog(1):,7,-1.199526,-0.938000,-0.938000,-0.938000,-1.246772,1.416459,1.410325,5.483405,5.417335,10.497812,51737,1.687226
22776:ApriltagsCameraLog(1):,8,-1.199526,-1.475000,-1.475000,-1.475000,-1.197791,1.408096,1.414513,5.395206,5.461372,10.369626,51737,1.671203
22790:ApriltagsCameraLog(1):,7,-1.197791,-0.928000,-0.928000,-0.928000,-1.243046,1.419010,1.410325,5.483617,5.417252,10.517940,51738,1.689743
22793:ApriltagsCameraLog(1):,8,-1.197791,-1.473000,-1.473000,-1.473000,-1.193128,1.408082,1.416216,5.395256,5.461482,10.369626,51738,1.671203
22808:ApriltagsCameraLog(1):,7,-1.193128,-0.983000,-0.983000,-0.983000,-1.238801,1.418947,1.410885,5.482219,5.417320,10.517940,51740,1.689743
22817:ApriltagsCameraLog(1):,8,-1.193128,-1.460000,-1.460000,-1.460000,-1.198327,1.405449,1.416340,5.395649,5.460576,10.349552,51740,1.668694
22829:ApriltagsCameraLog(1):,7,-1.198327,-0.930000,-0.930000,-0.930000,-1.241105,1.419008,1.409163,5.483566,5.417277,10.517940,51742,1.689743
22834:ApriltagsCameraLog(1):,8,-1.198327,-1.469000,-1.469000,-1.469000,-1.191773,1.405514,1.415826,5.395422,5.461455,10.349552,51742,1.668694
22866:ApriltagsCameraLog(1):,7,-1.191773,-0.974000,-0.974000,-0.974000,-1.237049,1.418958,1.409041,5.482448,5.417419,10.517940,51744,1.689743
22873:ApriltagsCameraLog(1):,8,-1.191773,-1.454000,-1.454000,-1.454000,-1.195370,1.405406,1.415735,5.395800,5.460759,10.349552,51744,1.668694
22891:ApriltagsCameraLog(1):,7,-1.195370,-0.946000,-0.946000,-0.946000,-1.237608,1.418990,1.408932,5.483160,5.417440,10.517940,51746,1.689743
22902:ApriltagsCameraLog(1):,8,-1.195370,-1.468000,-1.468000,-1.468000,-1.191344,1.408046,1.415730,5.395382,5.461239,10.369626,51746,1.671203
22916:ApriltagsCameraLog(1):,7,-1.191344,-0.916000,-0.916000,-0.916000,-1.236405,1.419023,1.410697,5.483923,5.417324,10.517940,51748,1.689743
22919:ApriltagsCameraLog(1):,8,-1.191344,-1.460000,-1.460000,-1.460000,-1.185518,1.405449,1.416351,5.395649,5.461710,10.349552,51748,1.668694
22936:ApriltagsCameraLog(1):,7,-1.185518,-1.020000,-1.020000,-1.020000,-1.230279,1.416365,1.409172,5.481323,5.417655,10.497812,51750,1.687226
22945:ApriltagsCameraLog(1):,8,-1.185518,-1.477000,-1.477000,-1.477000,-1.196910,1.408111,1.414032,5.395155,5.460093,10.369626,51750,1.671203
22960:ApriltagsCameraLog(1):,7,-1.196910,-1.014000,-1.014000,-1.014000,-1.242480,1.416372,1.410174,5.481475,5.416793,10.497812,51752,1.687226
22968:ApriltagsCameraLog(1):,8,-1.196910,-1.460000,-1.460000,-1.460000,-1.206177,1.407988,1.414378,5.395584,5.459908,10.369626,51752,1.671203
22980:ApriltagsCameraLog(1):,7,-1.206177,-0.946000,-0.946000,-0.946000,-1.247479,1.418990,1.410198,5.483160,5.417017,10.517940,51754,1.689743
22994:ApriltagsCameraLog(1):,8,-1.206177,-1.485000,-1.485000,-1.485000,-1.199548,1.408168,1.416156,5.394953,5.461099,10.369626,51754,1.671203
23019:ApriltagsCameraLog(1):,7,-1.199548,-0.934000,-0.934000,-0.934000,-1.245941,1.419003,1.410923,5.483465,5.416991,10.517940,51756,1.689743
23024:ApriltagsCameraLog(1):,8,-1.199548,-1.479000,-1.479000,-1.479000,-1.196315,1.408125,1.416411,5.395105,5.461294,10.369626,51756,1.671203
23036:ApriltagsCameraLog(1):,7,-1.196315,-1.010000,-1.010000,-1.010000,-1.242238,1.416377,1.410979,5.481577,5.417156,10.497812,51758,1.687226
23039:ApriltagsCameraLog(1):,8,-1.196315,-1.489000,-1.489000,-1.489000,-1.205265,1.408197,1.414650,5.394852,5.460097,10.369626,51758,1.671203
23059:ApriltagsCameraLog(1):,7,-1.205265,-0.889000,-0.889000,-0.889000,-1.251334,1.419053,1.410439,5.484609,5.416592,10.517940,51759,1.689743
