344679:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
344733:ApriltagsCameraLog(1):,7,-0.695728,-0.644000,-0.644000,-0.644000,-0.702086,2.783546,2.775563,5.505988,5.507850,21.355666,127339,3.044458
344736:ApriltagsCameraLog(1):,8,-0.695728,-0.807000,-0.807000,-0.807000,-0.696886,2.773722,2.780885,5.507044,5.506606,21.344415,127339,3.043052
344757:ApriltagsCameraLog(1):,7,-0.696886,-0.531000,-0.531000,-0.531000,-0.706094,2.781083,2.776109,5.511576,5.506894,21.335391,127342,3.041924
344762:ApriltagsCameraLog(1):,8,-0.696886,-0.865000,-0.865000,-0.865000,-0.690876,2.774252,2.779430,5.504198,5.510011,21.344415,127342,3.043052
344771:ApriltagsCameraLog(1):,7,-0.690876,-0.588000,-0.588000,-0.588000,-0.705583,2.781046,2.775983,5.508772,5.506131,21.335391,127343,3.041924
344776:ApriltagsCameraLog(1):,8,-0.690876,-0.836000,-0.836000,-0.836000,-0.695300,2.773987,2.779360,5.505621,5.507888,21.344415,127343,3.043052
344801:ApriltagsCameraLog(1):,7,-0.695300,-0.586000,-0.586000,-0.586000,-0.707148,2.781047,2.775780,5.508870,5.506373,21.335391,127344,3.041924
344809:ApriltagsCameraLog(1):,8,-0.695300,-0.936000,-0.936000,-0.936000,-0.696564,2.774896,2.779293,5.500712,5.508034,21.344415,127344,3.043052
344823:ApriltagsCameraLog(1):,7,-0.696564,-0.527000,-0.527000,-0.527000,-0.716877,2.781086,2.776371,5.511773,5.503147,21.335391,127346,3.041924
344832:ApriltagsCameraLog(1):,8,-0.696564,-0.800000,-0.800000,-0.800000,-0.700413,2.773658,2.779523,5.507388,5.508893,21.344415,127346,3.043052
344841:ApriltagsCameraLog(1):,7,-0.700413,-0.548000,-0.548000,-0.548000,-0.708755,2.781072,2.775614,5.510740,5.507887,21.335391,127348,3.041924
344851:ApriltagsCameraLog(1):,8,-0.700413,-0.766000,-0.766000,-0.766000,-0.694797,2.773346,2.779255,5.509056,5.509784,21.344415,127348,3.043052
344863:ApriltagsCameraLog(1):,7,-0.694797,-0.599000,-0.599000,-0.599000,-0.700717,2.781038,2.775316,5.508231,5.509297,21.335391,127350,3.041924
344871:ApriltagsCameraLog(1):,8,-0.694797,-0.863000,-0.863000,-0.863000,-0.691830,2.774233,2.779130,5.504296,5.508583,21.344415,127350,3.043052
344885:ApriltagsCameraLog(1):,7,-0.691830,-0.589000,-0.589000,-0.589000,-0.706324,2.781045,2.775870,5.508723,5.505720,21.335391,127351,3.041924
344888:ApriltagsCameraLog(1):,8,-0.691830,-0.812000,-0.812000,-0.812000,-0.696105,2.773768,2.779322,5.506799,5.507719,21.344415,127351,3.043052
344893:ApriltagsCameraLog(1):,7,-0.696105,-0.538000,-0.538000,-0.538000,-0.705870,2.781079,2.775620,5.511232,5.507102,21.335391,127352,3.041924
344897:ApriltagsCameraLog(1):,8,-0.696105,-0.909000,-0.909000,-0.909000,-0.691323,2.774651,2.779263,5.502038,5.509850,21.344415,127352,3.043052
344903:ApriltagsCameraLog(1):,7,-0.691323,-0.524000,-0.524000,-0.524000,-0.709814,2.781088,2.776197,5.511921,5.504637,21.335391,127353,3.041924
344905:ApriltagsCameraLog(1):,8,-0.691323,-0.865000,-0.865000,-0.865000,-0.693734,2.774252,2.779465,5.504198,5.509488,21.344415,127353,3.043052
344911:ApriltagsCameraLog(1):,7,-0.693734,-0.537000,-0.537000,-0.537000,-0.708253,2.781079,2.775994,5.511281,5.505956,21.335391,127354,3.041924
344914:ApriltagsCameraLog(1):,8,-0.693734,-0.879000,-0.879000,-0.879000,-0.693426,2.774379,2.779389,5.503510,5.509502,21.344415,127354,3.043052
344920:ApriltagsCameraLog(1):,7,-0.693426,-0.547000,-0.547000,-0.547000,-0.709176,2.781073,2.776055,5.510789,5.505503,21.335391,127356,3.041924
344924:ApriltagsCameraLog(1):,8,-0.693426,-0.780000,-0.780000,-0.780000,-0.695138,2.773475,2.779405,5.508369,5.509023,21.344415,127356,3.043052
344930:ApriltagsCameraLog(1):,7,-0.695138,-0.493000,-0.493000,-0.493000,-0.702270,2.783647,2.775452,5.513424,5.508584,21.355666,127357,3.044458
344952:ApriltagsCameraLog(1):,8,-0.695138,-0.882000,-0.882000,-0.882000,-0.684216,2.774406,2.780920,5.503363,5.511802,21.344415,127357,3.043052
344961:ApriltagsCameraLog(1):,7,-0.684216,-0.564000,-0.564000,-0.564000,-0.701028,2.783602,2.776586,5.509928,5.506169,21.355666,127358,3.044458
344965:ApriltagsCameraLog(1):,8,-0.684216,-0.852000,-0.852000,-0.852000,-0.689165,2.774133,2.781266,5.504836,5.508670,21.344415,127358,3.043052
344973:ApriltagsCameraLog(1):,7,-0.689165,-0.558000,-0.558000,-0.558000,-0.702988,2.781066,2.776514,5.510248,5.506108,21.335391,127361,3.041924
344979:ApriltagsCameraLog(1):,8,-0.689165,-0.833000,-0.833000,-0.833000,-0.690448,2.773960,2.779552,5.505768,5.508864,21.344415,127361,3.043052
344987:ApriltagsCameraLog(1):,7,-0.690448,-0.489000,-0.489000,-0.489000,-0.702548,2.781109,2.775826,5.513643,5.506796,21.335391,127363,3.041924
344993:ApriltagsCameraLog(1):,8,-0.690448,-0.787000,-0.787000,-0.787000,-0.684144,2.773539,2.779356,5.508026,5.511355,21.344415,127363,3.043052
345000:ApriltagsCameraLog(1):,7,-0.684144,-0.484000,-0.484000,-0.484000,-0.692853,2.783652,2.775480,5.513868,5.509132,21.355666,127366,3.044458
345006:ApriltagsCameraLog(1):,8,-0.684144,-0.812000,-0.812000,-0.812000,-0.674881,2.773768,2.780933,5.506799,5.512280,21.344415,127366,3.043052
345013:ApriltagsCameraLog(1):,7,-0.674881,-0.536000,-0.536000,-0.536000,-0.686541,2.781080,2.776160,5.511330,5.508621,21.335391,127368,3.041924
345017:ApriltagsCameraLog(1):,8,-0.674881,-0.795000,-0.795000,-0.795000,-0.673562,2.773612,2.779442,5.507633,5.510423,21.344415,127368,3.043052
345026:ApriltagsCameraLog(1):,7,-0.673562,-0.583000,-0.583000,-0.583000,-0.686635,2.781049,2.775557,5.509018,5.508560,21.335391,127370,3.041924
345039:ApriltagsCameraLog(1):,8,-0.673562,-0.864000,-0.864000,-0.864000,-0.677922,2.774242,2.779219,5.504247,5.508862,21.344415,127370,3.043052
345052:ApriltagsCameraLog(1):,7,-0.677922,-0.570000,-0.570000,-0.570000,-0.691286,2.781058,2.775906,5.509658,5.505780,21.335391,127372,3.041924
345055:ApriltagsCameraLog(1):,8,-0.677922,-0.888000,-0.888000,-0.888000,-0.680835,2.774461,2.779343,5.503069,5.508362,21.344415,127372,3.043052
345065:ApriltagsCameraLog(1):,7,-0.680835,-0.551000,-0.551000,-0.551000,-0.698527,2.781070,2.776094,5.510592,5.504828,21.335391,127374,3.041924
345068:ApriltagsCameraLog(1):,8,-0.680835,-0.855000,-0.855000,-0.855000,-0.685837,2.774161,2.779416,5.504689,5.508667,21.344415,127374,3.043052
