119042:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
119056:ApriltagsCameraLog(1):,7,-6.443967,-5.623000,-6.443967,-5.623000,-6.476877,1.656499,1.677587,5.343049,5.412876,14.277969,36533,2.024341
119058:ApriltagsCameraLog(1):,8,-6.443967,-4.532000,-6.443967,-4.532000,-6.465088,1.666781,1.666787,5.344203,5.378041,15.364178,36533,1.987263
119060:ApriltagsCameraLog(1):,13,-6.465088,5.039000,-6.465088,-6.465088,-6.440253,2.029067,1.666502,5.446390,5.361123,146.512951,36528,8.891576
119062:ApriltagsCameraLog(1):,15,-6.465088,-11.334000,-6.465088,-11.334000,-6.440287,1.513668,1.847775,5.433669,5.403796,29.495396,36528,2.854619
119096:ApriltagsCameraLog(1):,7,-6.440287,-5.625000,-6.440287,-5.625000,-6.473246,1.656512,1.680187,5.343158,5.411638,14.270473,36535,2.024341
119098:ApriltagsCameraLog(1):,8,-6.440287,-4.608000,-6.440287,-4.608000,-6.461522,1.666757,1.668100,5.344312,5.377485,15.261405,36535,1.987263
119099:ApriltagsCameraLog(1):,13,-6.461522,6.669000,-6.461522,-6.461522,-6.437546,2.059269,1.667164,5.442388,5.360910,157.030359,36529,8.861101
119110:ApriltagsCameraLog(1):,15,-6.461522,-11.353000,-6.461522,-11.353000,-6.437576,1.513609,1.863208,5.433475,5.401690,29.540159,36529,2.854619
119135:ApriltagsCameraLog(1):,7,-6.437576,-5.686000,-6.437576,-5.686000,-6.470632,1.656521,1.687837,5.343238,5.410125,14.186410,36536,2.024341
119142:ApriltagsCameraLog(1):,8,-6.437576,-4.709000,-6.437576,-4.709000,-6.459724,1.669264,1.671953,5.344108,5.376788,15.151125,36536,1.989766
119144:ApriltagsCameraLog(1):,13,-6.459724,7.343000,-6.459724,-6.459724,-6.436915,2.049132,1.670363,5.443244,5.360469,161.787294,36531,8.871259
119146:ApriltagsCameraLog(1):,15,-6.459724,-11.349000,-6.459724,-11.349000,-6.436943,1.511056,1.859739,5.433662,5.401894,29.565672,36531,2.857128
119154:ApriltagsCameraLog(1):,7,-6.436943,-5.544000,-6.436943,-5.544000,-6.469948,1.659048,1.684826,5.342972,5.410346,14.394936,36538,2.026865
119158:ApriltagsCameraLog(1):,8,-6.436943,-4.658000,-6.436943,-4.658000,-6.457260,1.666736,1.671669,5.344412,5.376762,15.192602,36538,1.987263
119176:ApriltagsCameraLog(1):,7,-6.457260,-5.686000,-6.457260,-5.686000,-6.436628,1.656451,1.668952,5.342656,5.360626,14.212381,36539,2.024341
119178:ApriltagsCameraLog(1):,8,-6.457260,-4.634000,-6.457260,-4.634000,-6.426250,1.666864,1.662644,5.343807,5.351681,15.249762,36539,1.987263
119180:ApriltagsCameraLog(1):,13,-6.457260,6.887000,-6.457260,-6.457260,-6.403084,2.056646,1.664693,5.441992,5.347712,158.528825,36532,8.863641
119182:ApriltagsCameraLog(1):,15,-6.457260,-11.385000,-6.457260,-11.385000,-6.436657,1.511016,1.862791,5.433528,5.401349,29.642052,36532,2.857128
119196:ApriltagsCameraLog(1):,13,-6.436657,7.309000,-6.436657,-6.436657,-6.469839,2.048594,1.686320,5.439551,5.409880,161.399410,36534,8.871259
119200:ApriltagsCameraLog(1):,15,-6.436657,-11.378000,-6.436657,-11.378000,-6.469802,1.510680,1.867461,5.432402,5.424668,29.669062,36534,2.857128
119216:ApriltagsCameraLog(1):,7,-6.469802,-5.595000,-6.469802,-5.595000,-6.502685,1.656406,1.689013,5.342285,5.420938,14.349002,36541,2.024341
119219:ApriltagsCameraLog(1):,8,-6.469802,-4.566000,-6.469802,-4.566000,-6.490242,1.666943,1.672403,5.343434,5.381739,15.353646,36541,1.987263
119220:ApriltagsCameraLog(1):,13,-6.490242,6.864000,-6.490242,-6.490242,-6.465530,2.047322,1.669357,5.448415,5.362633,158.786401,36535,8.873799
119222:ApriltagsCameraLog(1):,15,-6.490242,-11.409000,-6.490242,-11.409000,-6.465563,1.511555,1.858330,5.435329,5.405567,29.624216,36535,2.857128
119256:ApriltagsCameraLog(1):,7,-6.465563,-5.666000,-6.465563,-5.666000,-6.498720,1.656421,1.684410,5.342410,5.413008,14.249726,36543,2.024341
119258:ApriltagsCameraLog(1):,8,-6.465563,-4.643000,-6.465563,-4.643000,-6.487194,1.666917,1.670163,5.343560,5.377810,15.248863,36543,1.987263
119259:ApriltagsCameraLog(1):,13,-6.487194,5.592000,-6.487194,-6.487194,-6.463319,2.037156,1.668268,5.449075,5.360712,150.296731,36537,8.883957
119261:ApriltagsCameraLog(1):,15,-6.487194,-11.378000,-6.487194,-11.378000,-6.463351,1.511505,1.852703,5.435163,5.404932,29.568711,36537,2.857128
119276:ApriltagsCameraLog(1):,7,-6.463351,-5.629000,-6.463351,-5.629000,-6.496370,1.656429,1.681562,5.342475,5.412771,14.295629,36544,2.024341
119278:ApriltagsCameraLog(1):,8,-6.463351,-4.658000,-6.463351,-4.658000,-6.484403,1.666903,1.668734,5.343626,5.377718,15.226663,36544,1.987263
119295:ApriltagsCameraLog(1):,13,-6.484403,6.716000,-6.484403,-6.484403,-6.460724,2.042138,1.667550,5.448054,5.360687,157.834714,36539,8.878878
119297:ApriltagsCameraLog(1):,15,-6.484403,-11.389000,-6.484403,-11.389000,-6.460751,1.511459,1.854836,5.435010,5.404406,29.596097,36539,2.857128
119316:ApriltagsCameraLog(1):,7,-6.460751,-5.602000,-6.460751,-5.602000,-6.493815,1.656439,1.682598,5.342552,5.412368,14.327824,36546,2.024341
119318:ApriltagsCameraLog(1):,8,-6.460751,-4.614000,-6.460751,-4.614000,-6.481532,1.666886,1.669250,5.343703,5.377561,15.280061,36546,1.987263
119336:ApriltagsCameraLog(1):,13,-6.481532,6.246000,-6.481532,-6.481532,-6.457399,2.029452,1.667796,5.449028,5.360653,154.848599,36540,8.891576
119338:ApriltagsCameraLog(1):,15,-6.481532,-11.375000,-6.481532,-11.375000,-6.457430,1.511412,1.848615,5.434854,5.404878,29.573996,36540,2.857128
119356:ApriltagsCameraLog(1):,7,-6.457430,-5.617000,-6.457430,-5.617000,-6.490463,1.656450,1.679476,5.342651,5.412670,14.303649,36548,2.024341
119358:ApriltagsCameraLog(1):,8,-6.457430,-4.652000,-6.457430,-4.652000,-6.478418,1.666866,1.667700,5.343802,5.377748,15.226765,36548,1.987263
119359:ApriltagsCameraLog(1):,13,-6.478418,6.186000,-6.478418,-6.478418,-6.454739,2.024331,1.667016,5.449102,5.360783,154.510675,36542,8.896655
119361:ApriltagsCameraLog(1):,15,-6.478418,-11.344000,-6.478418,-11.344000,-6.454770,1.511361,1.845664,5.434683,5.404979,29.518624,36542,2.857128
119375:ApriltagsCameraLog(1):,7,-6.454770,-5.613000,-6.454770,-5.613000,-6.487673,1.656460,1.677983,5.342729,5.412739,14.305417,36549,2.024341
119378:ApriltagsCameraLog(1):,8,-6.454770,-4.478000,-6.454770,-4.478000,-6.475613,1.666849,1.666958,5.343881,5.377816,15.447761,36549,1.987263
119396:ApriltagsCameraLog(1):,13,-6.475613,6.815000,-6.475613,-6.475613,-6.447335,2.031837,1.666611,5.447792,5.360851,158.637699,36544,8.889036
119397:ApriltagsCameraLog(1):,15,-6.475613,-11.351000,-6.475613,-11.351000,-6.447367,1.511316,1.849214,5.434530,5.404362,29.538093,36544,2.857128
