298445:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
298462:ApriltagsCameraLog(1):,6,-90.899418,-90.823000,-90.899418,-90.823000,-90.897665,1.720996,1.718773,6.232265,6.230021,15.504309,229105,2.298341
298482:ApriltagsCameraLog(1):,,,,,,-90.894001,,1.719885,,6.231143,,,
298503:ApriltagsCameraLog(1):,6,-90.897665,-90.819000,-90.897665,-90.819000,-90.894001,1.721056,1.719885,6.232262,6.231143,15.507767,229107,2.298341
298523:ApriltagsCameraLog(1):,6,-90.894001,-90.914000,-90.894001,-90.914000,-90.893011,1.721182,1.720471,6.232254,6.231702,15.417499,229108,2.298341
298543:ApriltagsCameraLog(1):,6,-90.893011,-90.980000,-90.893011,-90.980000,-90.893245,1.721216,1.720826,6.232252,6.231978,15.520575,229110,2.298341
298562:ApriltagsCameraLog(1):,,,,,,-90.894348,,1.721021,,6.232115,,,
298583:ApriltagsCameraLog(1):,6,-90.893245,-90.895000,-90.893245,-90.895000,-90.894348,1.721208,1.721021,6.232252,6.232115,15.389428,229111,2.298341
298603:ApriltagsCameraLog(1):,6,-90.894348,-90.958000,-90.894348,-90.958000,-90.894357,1.721170,1.721115,6.232255,6.232184,15.484666,229113,2.298341
298622:ApriltagsCameraLog(1):,,,,,,-90.895168,,1.721142,,6.232219,,,
298643:ApriltagsCameraLog(1):,6,-90.894357,-90.979000,-90.894357,-90.979000,-90.892422,1.721170,1.721142,6.232255,6.232219,15.516966,229114,2.298341
298663:ApriltagsCameraLog(1):,6,-90.892422,-90.979000,-90.892422,-90.979000,-90.893488,1.721236,1.721156,6.232251,6.232237,15.519943,229116,2.298341
298682:ApriltagsCameraLog(1):,,,,,,-90.894541,,1.721196,,6.232244,,,
298703:ApriltagsCameraLog(1):,6,-90.893488,-90.945000,-90.893488,-90.945000,-90.894541,1.721200,1.721196,6.232253,6.232244,15.465987,229117,2.298341
298722:ApriltagsCameraLog(1):,,,,,,-90.895184,,1.721198,,6.232248,,,
298742:ApriltagsCameraLog(1):,6,-90.894541,-90.908000,-90.894541,-90.908000,-90.895184,1.721163,1.721198,6.232255,6.232248,15.407436,229119,2.298341
298763:ApriltagsCameraLog(1):,6,-90.895184,-90.906000,-90.895184,-90.906000,-90.895348,1.721141,1.721181,6.232256,6.232252,15.403370,229120,2.298341
298782:ApriltagsCameraLog(1):,,,,,,-90.895485,,1.721161,,6.232254,,,
298804:ApriltagsCameraLog(1):,6,-90.895348,-90.896000,-90.895348,-90.896000,-90.895485,1.718556,1.721161,6.229757,6.232254,15.410556,229122,2.301194
298822:ApriltagsCameraLog(1):,6,-90.895485,-90.907000,-90.895485,-90.907000,-90.895491,1.721131,1.719859,6.232257,6.231005,15.404446,229124,2.298341
298842:ApriltagsCameraLog(1):,,,,,,-90.892892,,1.720495,,6.231631,,,
298863:ApriltagsCameraLog(1):,6,-90.895491,-90.897000,-90.895491,-90.897000,-90.892892,1.721131,1.720495,6.232257,6.231631,15.389049,229125,2.298341
298882:ApriltagsCameraLog(1):,6,-90.892892,-90.909000,-90.892892,-90.909000,-90.892910,1.721220,1.720813,6.232252,6.231944,15.411512,229127,2.298341
298905:ApriltagsCameraLog(1):,,,,,,-90.895860,,1.721016,,6.232098,,,
298922:ApriltagsCameraLog(1):,6,-90.892910,-90.951000,-90.892910,-90.951000,-90.895860,1.721219,1.721016,6.232252,6.232098,15.476109,229128,2.298341
298943:ApriltagsCameraLog(1):,6,-90.895860,-90.904000,-90.895860,-90.904000,-90.899346,1.721118,1.721118,6.232258,6.232175,15.399251,229129,2.298341
298963:ApriltagsCameraLog(1):,6,-90.899346,-90.943000,-90.899346,-90.943000,-90.899474,1.720998,1.721118,6.232265,6.232216,15.453897,229131,2.298341
298982:ApriltagsCameraLog(1):,,,,,,-90.900064,,1.721058,,6.232241,,,
299003:ApriltagsCameraLog(1):,6,-90.899474,-90.904000,-90.899474,-90.904000,-90.900064,1.720994,1.721058,6.232265,6.232241,15.393691,229132,2.298341
299023:ApriltagsCameraLog(1):,6,-90.900064,-90.904000,-90.900064,-90.904000,-90.900119,1.720973,1.721026,6.232267,6.232253,15.392784,229134,2.298341
299042:ApriltagsCameraLog(1):,,,,,,-90.897422,,1.721000,,6.232260,,,
299062:ApriltagsCameraLog(1):,6,-90.900119,-90.873000,-90.900119,-90.873000,-90.897422,1.720971,1.721000,6.232267,6.232260,15.428455,229135,2.298341
299082:ApriltagsCameraLog(1):,6,-90.897422,-90.917000,-90.897422,-90.917000,-90.897075,1.721064,1.720985,6.232261,6.232263,15.416851,229136,2.298341
299102:ApriltagsCameraLog(1):,,,,,,-90.897295,,1.721025,,6.232262,,,
299123:ApriltagsCameraLog(1):,6,-90.897075,-90.920000,-90.897075,-90.920000,-90.894548,1.721076,1.721025,6.232260,6.232262,15.422002,229138,2.298341
299142:ApriltagsCameraLog(1):,6,-90.894548,-90.875000,-90.894548,-90.875000,-90.897585,1.721163,1.721050,6.232255,6.232261,15.416805,229140,2.298341
299162:ApriltagsCameraLog(1):,,,,,,-90.897296,,1.721107,,6.232258,,,
299183:ApriltagsCameraLog(1):,6,-90.897585,-90.871000,-90.897585,-90.871000,-90.897296,1.721059,1.721107,6.232261,6.232258,15.427633,229141,2.298341
299203:ApriltagsCameraLog(1):,6,-90.897296,-90.943000,-90.897296,-90.943000,-90.894246,1.721069,1.721083,6.232261,6.232260,15.457050,229142,2.298341
299222:ApriltagsCameraLog(1):,,,,,,-90.897582,,1.721076,,6.232260,,,
299242:ApriltagsCameraLog(1):,6,-90.894246,-90.920000,-90.894246,-90.920000,-90.897582,1.721173,1.721076,6.232254,6.232260,15.426354,229144,2.298341
299262:ApriltagsCameraLog(1):,6,-90.897582,-90.922000,-90.897582,-90.922000,-90.897869,1.721059,1.721125,6.232261,6.232257,15.424298,229146,2.298341
299282:ApriltagsCameraLog(1):,,,,,,-90.898183,,1.721092,,6.232259,,,
299303:ApriltagsCameraLog(1):,6,-90.897869,-90.960000,-90.897869,-90.960000,-90.898183,1.721049,1.721092,6.232262,6.232259,15.482326,229147,2.298341
299322:ApriltagsCameraLog(1):,,,,,,-90.898972,,1.721070,,6.232261,,,
299348:ApriltagsCameraLog(1):,6,-90.898183,-90.997000,-90.898183,-90.997000,-90.898972,1.721038,1.721070,6.232263,6.232261,15.538773,229149,2.298341
299363:ApriltagsCameraLog(1):,6,-90.898972,-90.990000,-90.898972,-90.990000,-90.900218,1.721011,1.721054,6.232264,6.232262,15.526790,229150,2.298341
299402:ApriltagsCameraLog(1):,6,-90.900218,-91.004000,-90.900218,-91.004000,-90.901359,1.720968,1.721032,6.232267,6.232263,15.546414,229152,2.298341
299422:ApriltagsCameraLog(1):,6,-90.901359,-90.966000,-90.901359,-90.966000,-90.902663,1.720929,1.721000,6.232269,6.232265,15.486188,229153,2.298341
299442:ApriltagsCameraLog(1):,,,,,,-90.903471,,1.720964,,6.232267,,,
299463:ApriltagsCameraLog(1):,6,-90.902663,-90.952000,-90.902663,-90.952000,-90.903471,1.720884,1.720964,6.232272,6.232267,15.462641,229155,2.298341
299483:ApriltagsCameraLog(1):,6,-90.903471,-90.990000,-90.903471,-90.990000,-90.904090,1.720856,1.720924,6.232274,6.232270,15.519868,229156,2.298341
299503:ApriltagsCameraLog(1):,6,-90.904090,-90.940000,-90.904090,-90.940000,-90.905183,1.720835,1.720890,6.232275,6.232272,15.441981,229158,2.298341
299522:ApriltagsCameraLog(1):,,,,,,-90.905628,,1.720862,,6.232273,,,
299543:ApriltagsCameraLog(1):,6,-90.905183,-90.981000,-90.905183,-90.981000,-90.905628,1.720797,1.720862,6.232277,6.232273,15.503384,229159,2.298341
299563:ApriltagsCameraLog(1):,6,-90.905628,-90.938000,-90.905628,-90.938000,-90.903842,1.720782,1.720830,6.232278,6.232275,15.436536,229161,2.298341
299582:ApriltagsCameraLog(1):,,,,,,-90.904244,,1.720806,,6.232277,,,
299602:ApriltagsCameraLog(1):,6,-90.903842,-90.992000,-90.903842,-90.992000,-90.904244,1.720843,1.720806,6.232275,6.232277,15.522374,229162,2.298341
299623:ApriltagsCameraLog(1):,6,-90.904244,-90.906000,-90.904244,-90.906000,-90.905325,1.720829,1.720824,6.232275,6.232276,15.389430,229164,2.298341
299642:ApriltagsCameraLog(1):,,,,,,-90.905334,,1.720827,,6.232276,,,
299663:ApriltagsCameraLog(1):,6,-90.905325,-90.942000,-90.905325,-90.942000,-90.905334,1.720792,1.720827,6.232278,6.232276,15.443158,229165,2.298341
299683:ApriltagsCameraLog(1):,6,-90.905334,-90.883000,-90.905334,-90.883000,-90.903056,1.718252,1.720810,6.232318,6.232277,15.423780,229167,2.298676
