518:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust,frame,dist
850:ApriltagsCameraLog(1):,7,-45.000000,-3.881000,-3.881000,-3.881000,-45.000000,3.531309,0.000000,5.399912,0.000000,25.579795,138864,3.572474
887:ApriltagsCameraLog(1):,7,-45.000000,-3.991000,-3.991000,-3.991000,-44.680998,3.531019,2.652602,5.393060,1.956885,25.579795,138865,3.572474
918:ApriltagsCameraLog(1):,7,-44.680998,-3.847000,-3.847000,-3.847000,-44.365325,3.531397,3.679157,5.402030,3.449023,25.579795,138866,3.572474
955:ApriltagsCameraLog(1):,7,-44.365325,-4.022000,-4.022000,-4.022000,-44.050983,3.530935,3.951023,5.391129,4.411359,25.579795,138867,3.572474
979:ApriltagsCameraLog(1):,7,-44.050983,-3.961000,-3.961000,-3.961000,-43.740438,3.531099,3.919247,5.394928,4.954442,25.579795,138868,3.572474
1021:ApriltagsCameraLog(1):,7,-43.740438,-3.834000,-3.834000,-3.834000,-43.431828,3.531430,3.808738,5.402840,5.232840,25.579795,138869,3.572474
1063:ApriltagsCameraLog(1):,7,-43.431828,-4.017000,-4.017000,-4.017000,-43.124628,3.530948,3.704673,5.391440,5.362064,25.579795,138871,3.572474
1106:ApriltagsCameraLog(1):,7,-43.124628,-4.061000,-4.061000,-4.061000,-42.821230,3.530827,3.626106,5.388699,5.405614,25.579795,138873,3.572474
1131:ApriltagsCameraLog(1):,7,-42.821230,-3.996000,-3.996000,-3.996000,-42.520528,3.531005,3.577416,5.392748,5.413468,25.579795,138874,3.572474
1186:ApriltagsCameraLog(1):,7,-42.520528,-4.108000,-4.108000,-4.108000,-42.221654,3.530695,3.551615,5.385772,5.411235,25.579795,138879,3.572474
1226:ApriltagsCameraLog(1):,7,-42.221654,-3.672000,-3.672000,-3.672000,-41.925968,3.529291,3.537332,5.413096,5.402419,25.559483,138886,3.569935
1260:ApriltagsCameraLog(1):,7,-41.925968,-4.065000,-4.065000,-4.065000,-41.628959,3.530816,3.535227,5.388450,5.408894,25.579795,138893,3.572474
1278:ApriltagsCameraLog(1):,7,-41.628959,-3.804000,-3.804000,-3.804000,-41.337537,3.531505,3.529773,5.404709,5.399750,25.579795,138894,3.572474
1295:ApriltagsCameraLog(1):,7,-41.337537,-3.920000,-3.920000,-3.920000,-41.046352,3.533742,3.531415,5.397309,5.401861,25.600108,138895,3.575014
1313:ApriltagsCameraLog(1):,7,-41.046352,-4.001000,-4.001000,-4.001000,-40.758552,3.530992,3.531806,5.392437,5.399289,25.579795,138896,3.572474
1343:ApriltagsCameraLog(1):,7,-40.758552,-3.890000,-3.890000,-3.890000,-40.473386,3.531286,3.530322,5.399351,5.396108,25.579795,138897,3.572474
1364:ApriltagsCameraLog(1):,7,-40.473386,-3.876000,-3.876000,-3.876000,-40.189572,3.531322,3.531302,5.400224,5.397523,25.579795,138898,3.572474
1382:ApriltagsCameraLog(1):,7,-40.189572,-4.100000,-4.100000,-4.100000,-39.907850,3.530718,3.531736,5.386270,5.398826,25.579795,138899,3.572474
1400:ApriltagsCameraLog(1):,7,-39.907850,-4.017000,-4.017000,-4.017000,-39.630053,3.530948,3.529296,5.391440,5.392907,25.579795,138900,3.572474
1423:ApriltagsCameraLog(1):,7,-39.630053,-3.992000,-3.992000,-3.992000,-39.353766,3.531016,3.529870,5.392997,5.391942,25.579795,138901,3.572474
1446:ApriltagsCameraLog(1):,7,-39.353766,-4.079000,-4.079000,-4.079000,-39.079429,3.530777,3.530587,5.387578,5.392278,25.579795,138902,3.572474
1460:ApriltagsCameraLog(1):,7,-39.079429,-3.900000,-3.900000,-3.900000,-38.807895,3.531260,3.529967,5.398729,5.389971,25.579795,138903,3.572474
1475:ApriltagsCameraLog(1):,7,-38.807895,-3.918000,-3.918000,-3.918000,-38.537079,3.531213,3.531918,5.397607,5.394021,25.579795,138904,3.572474
1493:ApriltagsCameraLog(1):,7,-38.537079,-3.913000,-3.913000,-3.913000,-38.268504,3.531226,3.532114,5.397919,5.395866,25.579795,138905,3.572474
1506:ApriltagsCameraLog(1):,7,-38.268504,-3.825000,-3.825000,-3.825000,-38.001974,3.531452,3.531988,5.403401,5.396994,25.579795,138906,3.572474
1533:ApriltagsCameraLog(1):,7,-38.001974,-4.079000,-4.079000,-4.079000,-37.736828,3.530777,3.532676,5.387578,5.400184,25.579795,138907,3.572474
1555:ApriltagsCameraLog(1):,7,-37.736828,-4.007000,-4.007000,-4.007000,-37.475710,3.530975,3.529916,5.392063,5.394336,25.579795,138908,3.572474
1585:ApriltagsCameraLog(1):,7,-37.475710,-3.846000,-3.846000,-3.846000,-37.216060,3.531399,3.530102,5.402093,5.393078,25.579795,138909,3.572474
1597:ApriltagsCameraLog(1):,7,-37.216060,-3.877000,-3.877000,-3.877000,-36.957174,3.531320,3.532035,5.400161,5.397272,25.579795,138910,3.572474
1615:ApriltagsCameraLog(1):,7,-36.957174,-3.807000,-3.807000,-3.807000,-36.700538,3.534032,3.532101,5.404354,5.398780,25.600108,138911,3.575014
1631:ApriltagsCameraLog(1):,7,-36.700538,-3.810000,-3.810000,-3.810000,-36.445550,3.534024,3.533834,5.404167,5.401217,25.600108,138912,3.575014
1649:ApriltagsCameraLog(1):,7,-36.445550,-4.036000,-4.036000,-4.036000,-36.192562,3.533430,3.534344,5.390078,5.402626,25.600108,138913,3.575014
1673:ApriltagsCameraLog(1):,7,-36.192562,-4.104000,-4.104000,-4.104000,-35.943288,3.530707,3.532151,5.386021,5.396641,25.579795,138914,3.572474
1698:ApriltagsCameraLog(1):,7,-35.943288,-4.111000,-4.111000,-4.111000,-35.696278,3.530687,3.529983,5.385585,5.391664,25.579795,138915,3.572474
1712:ApriltagsCameraLog(1):,7,-35.696278,-4.087000,-4.087000,-4.087000,-35.451239,3.530754,3.529495,5.387080,5.388604,25.579795,138916,3.572474
1731:ApriltagsCameraLog(1):,7,-35.451239,-3.939000,-3.939000,-3.939000,-35.207915,3.531158,3.529902,5.396299,5.387689,25.579795,138917,3.572474
1757:ApriltagsCameraLog(1):,7,-35.207915,-3.988000,-3.988000,-3.988000,-34.955330,3.531027,3.531680,5.393247,5.391719,25.579795,138918,3.572474
1775:ApriltagsCameraLog(1):,7,-34.955330,-3.996000,-3.996000,-3.996000,-34.715008,3.531005,3.531566,5.392748,5.392552,25.579795,138919,3.572474
1791:ApriltagsCameraLog(1):,7,-34.715008,-4.056000,-4.056000,-4.056000,-34.486612,3.530841,3.531318,5.389011,5.392723,25.579795,138920,3.572474
1806:ApriltagsCameraLog(1):,7,-34.486612,-4.135000,-4.135000,-4.135000,-34.240608,3.530618,3.530596,5.384090,5.390972,25.579795,138921,3.572474
1831:ApriltagsCameraLog(1):,7,-34.240608,-4.019000,-4.019000,-4.019000,-34.007027,3.530943,3.529710,5.391316,5.387606,25.579795,138922,3.572474
1851:ApriltagsCameraLog(1):,7,-34.007027,-3.872000,-3.872000,-3.872000,-33.774302,3.531333,3.530794,5.400473,5.389259,25.579795,138923,3.572474
1870:ApriltagsCameraLog(1):,7,-33.774302,-3.974000,-3.974000,-3.974000,-33.542320,3.531065,3.532509,5.394119,5.394671,25.579795,138924,3.572474
1890:ApriltagsCameraLog(1):,7,-33.542320,-3.888000,-3.888000,-3.888000,-33.312928,3.531291,3.531732,5.399476,5.394586,25.579795,138925,3.572474
1909:ApriltagsCameraLog(1):,7,-33.312928,-4.133000,-4.133000,-4.133000,-33.084649,3.530624,3.532139,5.384215,5.397034,25.579795,138926,3.572474
1929:ApriltagsCameraLog(1):,7,-33.084649,-4.052000,-4.052000,-4.052000,-32.860042,3.530852,3.529790,5.389260,5.390948,25.579795,138927,3.572474
1948:ApriltagsCameraLog(1):,7,-32.860042,-4.039000,-4.039000,-4.039000,-32.636549,3.530888,3.530100,5.390070,5.389989,25.579795,138928,3.572474
1971:ApriltagsCameraLog(1):,7,-32.636549,-3.887000,-3.887000,-3.887000,-32.414689,3.533828,3.530496,5.399366,5.389931,25.600108,138929,3.575014
1989:ApriltagsCameraLog(1):,7,-32.414689,-3.587000,-3.587000,-3.587000,-32.193545,3.532022,3.533294,5.418230,5.394141,25.579795,138930,3.572474
2007:ApriltagsCameraLog(1):,7,-32.193545,-3.930000,-3.930000,-3.930000,-31.971615,3.533716,3.535654,5.396686,5.406098,25.600108,138931,3.575014
2041:ApriltagsCameraLog(1):,7,-31.971615,-4.030000,-4.030000,-4.030000,-31.754239,3.530913,3.533561,5.390630,5.401719,25.579795,138932,3.572474
2059:ApriltagsCameraLog(1):,7,-31.754239,-4.070000,-4.070000,-4.070000,-31.539154,3.530802,3.530931,5.388139,5.396599,25.579795,138933,3.572474
2080:ApriltagsCameraLog(1):,7,-31.539154,-4.058000,-4.058000,-4.058000,-31.326048,3.530835,3.529861,5.388886,5.392464,25.579795,138934,3.572474
2099:ApriltagsCameraLog(1):,7,-31.326048,-4.003000,-4.003000,-4.003000,-31.124502,3.530986,3.529917,5.392312,5.390593,25.579795,138935,3.572474
2119:ApriltagsCameraLog(1):,7,-31.124502,-3.881000,-3.881000,-3.881000,-30.914171,3.531309,3.530644,5.399912,5.391311,25.579795,138936,3.572474
2140:ApriltagsCameraLog(1):,7,-30.914171,-4.057000,-4.057000,-4.057000,-30.704524,3.530838,3.531977,5.388948,5.395456,25.579795,138938,3.572474
2181:ApriltagsCameraLog(1):,7,-30.704524,-3.902000,-3.902000,-3.902000,-30.497793,3.533789,3.530667,5.398431,5.392391,25.600108,138939,3.575014
2199:ApriltagsCameraLog(1):,7,-30.497793,-4.016000,-4.016000,-4.016000,-30.291625,3.530951,3.532896,5.391502,5.394998,25.579795,138940,3.572474
2220:ApriltagsCameraLog(1):,7,-30.291625,-3.880000,-3.880000,-3.880000,-30.087778,3.533846,3.531542,5.399803,5.393502,25.600108,138941,3.575014
2240:ApriltagsCameraLog(1):,7,-30.087778,-3.915000,-3.915000,-3.915000,-29.874618,3.531221,3.533390,5.397794,5.396337,25.579795,138942,3.572474
2259:ApriltagsCameraLog(1):,7,-29.874618,-4.090000,-4.090000,-4.090000,-29.673145,3.530746,3.532487,5.386893,5.397297,25.579795,138943,3.572474
2279:ApriltagsCameraLog(1):,7,-29.673145,-4.030000,-4.030000,-4.030000,-29.484593,3.530913,3.530478,5.390630,5.392373,25.579795,138944,3.572474
2299:ApriltagsCameraLog(1):,7,-29.484593,-4.007000,-4.007000,-4.007000,-29.277190,3.530975,3.530500,5.392063,5.391468,25.579795,138945,3.572474
2320:ApriltagsCameraLog(1):,7,-29.277190,-4.013000,-4.013000,-4.013000,-29.081143,3.530959,3.530799,5.391689,5.391709,25.579795,138946,3.572474
2339:ApriltagsCameraLog(1):,7,-29.081143,-4.422000,-4.422000,-4.422000,-28.886595,3.527221,3.530876,5.366412,5.391682,25.559483,138947,3.569935
2359:ApriltagsCameraLog(1):,7,-28.886595,-4.021000,-4.021000,-4.021000,-28.696645,3.530937,3.526399,5.391191,5.379622,25.579795,138948,3.572474
2378:ApriltagsCameraLog(1):,7,-28.696645,-3.999000,-3.999000,-3.999000,-28.505211,3.530997,3.529870,5.392561,5.384834,25.579795,138949,3.572474
2398:ApriltagsCameraLog(1):,7,-28.505211,-4.064000,-4.064000,-4.064000,-28.315091,3.530819,3.531245,5.388512,5.388520,25.579795,138950,3.572474
2419:ApriltagsCameraLog(1):,7,-28.315091,-3.924000,-3.924000,-3.924000,-28.126951,3.533731,3.531034,5.397060,5.388561,25.600108,138951,3.575014
2445:ApriltagsCameraLog(1):,7,-28.126951,-3.961000,-3.961000,-3.961000,-27.939332,3.531099,3.533254,5.394928,5.392466,25.579795,138952,3.572474
2459:ApriltagsCameraLog(1):,7,-27.939332,-3.987000,-3.987000,-3.987000,-27.743308,3.531030,3.532448,5.393309,5.393903,25.579795,138953,3.572474
2478:ApriltagsCameraLog(1):,7,-27.743308,-3.909000,-3.909000,-3.909000,-27.568928,3.531237,3.531687,5.398168,5.393756,25.579795,138954,3.572474
